market_locale_key,target_country,language,configured_path,runtime_enabled,data_filter_check,cache_isolation,fallback_language,price_currency,booking_context,clinical_availability,hreflang_check,metadata_check,evidence,checked_at
CZ-ro,Czechia,ro,/czechia/ro,yes,"pass: doctors_on_page=8 vs api_roster=8; status=200;jsonld_types=['Answer', 'BreadcrumbList', 'ContactPoint', 'Country', 'EducationalOccupationalCredential', 'FAQPage', 'ImageObject', 'ListItem', 'MedicalOrganization', 'MedicalProcedure', 'MedicalWebPage', 'Offer', 'Organization', 'Person', 'PostalAddress', 'PropertyValue', 'QuantitativeValue', 'Question', 'ReserveAction', 'Service', 'WebSite'];jsonld_inLanguage=[]","see findings (sampled, not per-combo)",none (5.7% en stopwords),CZK/Kč,tz=Europe/Prague;regulator=FOUND:ČLK;legal_entity_snippet='Medicină oricând și oriunde. Consultații medicale online cu medici înregistrați local pe piețele unde operăm.info@myglobalhealth.online+420 608353716Urmărește-n',page=8;api=8;consult_langs=Arabic;Bangla;Czech;English;Hebrew;Hindi;Italian;Ukrainian;Urdu,pass,"title=ok;h1=ok;canonical=ok;robots=index, follow;html_lang=ro(match);og:locale=ro_CZ",html/home_CZ-ro.html;html/service_CZ-ro.html;html/doctors_CZ-ro.html;html/pricing_CZ-ro.html;html/legal_CZ-ro.html,2026-09-15T05:46:38Z
CZ-de,Czechia,de,/czechia/de,yes,"pass: doctors_on_page=8 vs api_roster=8; status=200;jsonld_types=['Answer', 'BreadcrumbList', 'ContactPoint', 'Country', 'EducationalOccupationalCredential', 'FAQPage', 'ImageObject', 'ListItem', 'MedicalOrganization', 'MedicalProcedure', 'MedicalWebPage', 'Offer', 'Organization', 'Person', 'PostalAddress', 'PropertyValue', 'QuantitativeValue', 'Question', 'ReserveAction', 'Service', 'WebSite'];jsonld_inLanguage=[]","see findings (sampled, not per-combo)",none (17.1% en stopwords),CZK/Kč,"tz=Europe/Prague;regulator=FOUND:ČLK;legal_entity_snippet='Medizin jederzeit und überall. Online-Arztkonsultationen mit lokal registrierten Ärzten in den Märkten, in denen wir tätig sind.info@myglobalhealth.online+420 6'",page=8;api=8;consult_langs=Arabic;Bangla;Czech;English;Hebrew;Hindi;Italian;Ukrainian;Urdu,pass,"title=ok;h1=ok;canonical=ok;robots=index, follow;html_lang=de(match);og:locale=de_CZ",html/home_CZ-de.html;html/service_CZ-de.html;html/doctors_CZ-de.html;html/pricing_CZ-de.html;html/legal_CZ-de.html,2026-09-15T05:46:38Z
PT-pt,Portugal,pt,/portugal/pt,yes,"pass: doctors_on_page=15 vs api_roster=15; status=200;jsonld_types=['Answer', 'BreadcrumbList', 'ContactPoint', 'Country', 'EducationalOccupationalCredential', 'FAQPage', 'ImageObject', 'ListItem', 'MedicalOrganization', 'MedicalProcedure', 'MedicalWebPage', 'Offer', 'Organization', 'Person', 'PostalAddress', 'PropertyValue', 'QuantitativeValue', 'Question', 'ReserveAction', 'Service', 'WebSite'];jsonld_inLanguage=[]","see findings (sampled, not per-combo)",none (3.9% en stopwords),EUR/€,tz=Europe/Lisbon;regulator=FOUND:Ordem dos Médicos;legal_entity_snippet='Medicina a qualquer hora e em qualquer lugar. Consultas médicas online com médicos registados localmente nos mercados onde operamos.info@myglobalhealth.online+3',page=15;api=15;consult_langs=Czech;English;French;Portuguese;Spanish,pass,"title=ok;h1=ok;canonical=ok;robots=index, follow;html_lang=pt(match);og:locale=pt_PT",html/home_PT-pt.html;html/service_PT-pt.html;html/doctors_PT-pt.html;html/pricing_PT-pt.html;html/legal_PT-pt.html,2026-09-15T05:46:38Z
PT-en,Portugal,en,/portugal/en,yes,"pass: doctors_on_page=15 vs api_roster=15; status=200;jsonld_types=['Answer', 'BreadcrumbList', 'ContactPoint', 'Country', 'EducationalOccupationalCredential', 'FAQPage', 'ImageObject', 'ListItem', 'MedicalOrganization', 'MedicalProcedure', 'MedicalWebPage', 'Offer', 'Organization', 'Person', 'PostalAddress', 'PropertyValue', 'QuantitativeValue', 'Question', 'ReserveAction', 'Service', 'WebSite'];jsonld_inLanguage=[]","see findings (sampled, not per-combo)",none (100.0% en stopwords),EUR/€,tz=Europe/Lisbon;regulator=FOUND:Ordem dos Médicos;legal_entity_snippet='Medicine anytime anywhere. Online medical consultations with locally-registered doctors in the markets where we operate.info@myglobalhealth.online+351 919990810',page=15;api=15;consult_langs=Czech;English;French;Portuguese;Spanish,pass,"title=ok;h1=ok;canonical=ok;robots=index, follow;html_lang=en(match);og:locale=en_PT",html/home_PT-en.html;html/service_PT-en.html;html/doctors_PT-en.html;html/pricing_PT-en.html;html/legal_PT-en.html,2026-09-15T05:46:38Z
PT-es,Portugal,es,/portugal/es,yes,"pass: doctors_on_page=15 vs api_roster=15; status=200;jsonld_types=['Answer', 'BreadcrumbList', 'ContactPoint', 'Country', 'EducationalOccupationalCredential', 'FAQPage', 'ImageObject', 'ListItem', 'MedicalOrganization', 'MedicalProcedure', 'MedicalWebPage', 'Offer', 'Organization', 'Person', 'PostalAddress', 'PropertyValue', 'QuantitativeValue', 'Question', 'ReserveAction', 'Service', 'WebSite'];jsonld_inLanguage=[]","see findings (sampled, not per-combo)",none (4.2% en stopwords),EUR/€,tz=Europe/Lisbon;regulator=FOUND:Ordem dos Médicos;legal_entity_snippet='Medicina cuando y donde quieras. Consultas médicas online con médicos colegiados localmente en los mercados donde operamos.info@myglobalhealth.online+351 919990',page=15;api=15;consult_langs=Czech;English;French;Portuguese;Spanish,pass,"title=ok;h1=ok;canonical=ok;robots=index, follow;html_lang=es(match);og:locale=es_PT",html/home_PT-es.html;html/service_PT-es.html;html/doctors_PT-es.html;html/pricing_PT-es.html;html/legal_PT-es.html,2026-09-15T05:46:38Z
PT-cs,Portugal,cs,/portugal/cs,yes,"pass: doctors_on_page=15 vs api_roster=15; status=200;jsonld_types=['Answer', 'BreadcrumbList', 'ContactPoint', 'Country', 'EducationalOccupationalCredential', 'FAQPage', 'ImageObject', 'ListItem', 'MedicalOrganization', 'MedicalProcedure', 'MedicalWebPage', 'Offer', 'Organization', 'Person', 'PostalAddress', 'PropertyValue', 'QuantitativeValue', 'Question', 'ReserveAction', 'Service', 'WebSite'];jsonld_inLanguage=[]","see findings (sampled, not per-combo)",none (7.5% en stopwords),EUR/€,"tz=Europe/Lisbon;regulator=FOUND:Ordem dos Médicos;legal_entity_snippet='Medicína kdykoliv a kdekoliv. Online lékařské konzultace s lékaři registrovanými ve vaší zemi na trzích, kde působíme.info@myglobalhealth.online+351 919990810Sl'",page=15;api=15;consult_langs=Czech;English;French;Portuguese;Spanish,pass,"title=ok;h1=ok;canonical=ok;robots=index, follow;html_lang=cs(match);og:locale=cs_PT",html/home_PT-cs.html;html/service_PT-cs.html;html/doctors_PT-cs.html;html/pricing_PT-cs.html;html/legal_PT-cs.html,2026-09-15T05:46:38Z
PT-ro,Portugal,ro,/portugal/ro,yes,"pass: doctors_on_page=15 vs api_roster=15; status=200;jsonld_types=['Answer', 'BreadcrumbList', 'ContactPoint', 'Country', 'EducationalOccupationalCredential', 'FAQPage', 'ImageObject', 'ListItem', 'MedicalOrganization', 'MedicalProcedure', 'MedicalWebPage', 'Offer', 'Organization', 'Person', 'PostalAddress', 'PropertyValue', 'QuantitativeValue', 'Question', 'ReserveAction', 'Service', 'WebSite'];jsonld_inLanguage=[]","see findings (sampled, not per-combo)",none (4.6% en stopwords),EUR/€,tz=Europe/Lisbon;regulator=FOUND:Ordem dos Médicos;legal_entity_snippet='Medicină oricând și oriunde. Consultații medicale online cu medici înregistrați local pe piețele unde operăm.info@myglobalhealth.online+351 919990810Urmărește-n',page=15;api=15;consult_langs=Czech;English;French;Portuguese;Spanish,pass,"title=ok;h1=ok;canonical=ok;robots=index, follow;html_lang=ro(match);og:locale=ro_PT",html/home_PT-ro.html;html/service_PT-ro.html;html/doctors_PT-ro.html;html/pricing_PT-ro.html;html/legal_PT-ro.html,2026-09-15T05:46:38Z
PT-de,Portugal,de,/portugal/de,yes,"pass: doctors_on_page=15 vs api_roster=15; status=200;jsonld_types=['Answer', 'BreadcrumbList', 'ContactPoint', 'Country', 'EducationalOccupationalCredential', 'FAQPage', 'ImageObject', 'ListItem', 'MedicalOrganization', 'MedicalProcedure', 'MedicalWebPage', 'Offer', 'Organization', 'Person', 'PostalAddress', 'PropertyValue', 'QuantitativeValue', 'Question', 'ReserveAction', 'Service', 'WebSite'];jsonld_inLanguage=[]","see findings (sampled, not per-combo)",none (16.6% en stopwords),EUR/€,"tz=Europe/Lisbon;regulator=FOUND:Ordem dos Médicos;legal_entity_snippet='Medizin jederzeit und überall. Online-Arztkonsultationen mit lokal registrierten Ärzten in den Märkten, in denen wir tätig sind.info@myglobalhealth.online+351 9'",page=15;api=15;consult_langs=Czech;English;French;Portuguese;Spanish,pass,"title=ok;h1=ok;canonical=ok;robots=index, follow;html_lang=de(match);og:locale=de_PT",html/home_PT-de.html;html/service_PT-de.html;html/doctors_PT-de.html;html/pricing_PT-de.html;html/legal_PT-de.html,2026-09-15T05:46:38Z
ES-es,Spain,es,/spain/es,yes,"pass: doctors_on_page=13 vs api_roster=13; status=200;jsonld_types=['Answer', 'BreadcrumbList', 'ContactPoint', 'Country', 'EducationalOccupationalCredential', 'FAQPage', 'ImageObject', 'ListItem', 'MedicalOrganization', 'MedicalProcedure', 'MedicalWebPage', 'Offer', 'Organization', 'Person', 'PostalAddress', 'PropertyValue', 'QuantitativeValue', 'Question', 'ReserveAction', 'Service', 'WebSite'];jsonld_inLanguage=[]","see findings (sampled, not per-combo)",none (3.7% en stopwords),EUR/€,tz=Europe/Madrid;regulator=FOUND:Colegio de Médicos / colegiado;legal_entity_snippet='Medicina cuando y donde quieras. Consultas médicas online con médicos colegiados localmente en los mercados donde operamos.info@myglobalhealth.online+34 692 722',page=13;api=13;consult_langs=Dutch;English;German;Hindi;Hungarian;Italian;Spanish;Urdu,pass,"title=ok;h1=ok;canonical=ok;robots=index, follow;html_lang=es(match);og:locale=es_ES",html/home_ES-es.html;html/service_ES-es.html;html/doctors_ES-es.html;html/pricing_ES-es.html;html/legal_ES-es.html,2026-09-15T05:46:38Z
ES-en,Spain,en,/spain/en,yes,"pass: doctors_on_page=13 vs api_roster=13; status=200;jsonld_types=['Answer', 'BreadcrumbList', 'ContactPoint', 'Country', 'EducationalOccupationalCredential', 'FAQPage', 'ImageObject', 'ListItem', 'MedicalOrganization', 'MedicalProcedure', 'MedicalWebPage', 'Offer', 'Organization', 'Person', 'PostalAddress', 'PropertyValue', 'QuantitativeValue', 'Question', 'ReserveAction', 'Service', 'WebSite'];jsonld_inLanguage=[]","see findings (sampled, not per-combo)",none (100.0% en stopwords),EUR/€,tz=Europe/Madrid;regulator=FOUND:Colegio de Médicos / colegiado;legal_entity_snippet='Medicine anytime anywhere. Online medical consultations with locally-registered doctors in the markets where we operate.info@myglobalhealth.online+34 692 722 89',page=13;api=13;consult_langs=Dutch;English;German;Hindi;Hungarian;Italian;Spanish;Urdu,pass,"title=ok;h1=ok;canonical=ok;robots=index, follow;html_lang=en(match);og:locale=en_ES",html/home_ES-en.html;html/service_ES-en.html;html/doctors_ES-en.html;html/pricing_ES-en.html;html/legal_ES-en.html,2026-09-15T05:46:38Z
ES-pt,Spain,pt,/spain/pt,yes,"pass: doctors_on_page=13 vs api_roster=13; status=200;jsonld_types=['Answer', 'BreadcrumbList', 'ContactPoint', 'Country', 'EducationalOccupationalCredential', 'FAQPage', 'ImageObject', 'ListItem', 'MedicalOrganization', 'MedicalProcedure', 'MedicalWebPage', 'Offer', 'Organization', 'Person', 'PostalAddress', 'PropertyValue', 'QuantitativeValue', 'Question', 'ReserveAction', 'Service', 'WebSite'];jsonld_inLanguage=[]","see findings (sampled, not per-combo)",none (3.8% en stopwords),EUR/€,tz=Europe/Madrid;regulator=FOUND:Colegio de Médicos / colegiado;legal_entity_snippet='Medicina a qualquer hora e em qualquer lugar. Consultas médicas online com médicos registados localmente nos mercados onde operamos.info@myglobalhealth.online+3',page=13;api=13;consult_langs=Dutch;English;German;Hindi;Hungarian;Italian;Spanish;Urdu,pass,"title=ok;h1=ok;canonical=ok;robots=index, follow;html_lang=pt(match);og:locale=pt_ES",html/home_ES-pt.html;html/service_ES-pt.html;html/doctors_ES-pt.html;html/pricing_ES-pt.html;html/legal_ES-pt.html,2026-09-15T05:46:38Z
ES-cs,Spain,cs,/spain/cs,yes,"pass: doctors_on_page=13 vs api_roster=13; status=200;jsonld_types=['Answer', 'BreadcrumbList', 'ContactPoint', 'Country', 'EducationalOccupationalCredential', 'FAQPage', 'ImageObject', 'ListItem', 'MedicalOrganization', 'MedicalProcedure', 'MedicalWebPage', 'Offer', 'Organization', 'Person', 'PostalAddress', 'PropertyValue', 'QuantitativeValue', 'Question', 'ReserveAction', 'Service', 'WebSite'];jsonld_inLanguage=[]","see findings (sampled, not per-combo)",none (7.3% en stopwords),EUR/€,"tz=Europe/Madrid;regulator=FOUND:Colegio de Médicos / colegiado;legal_entity_snippet='Medicína kdykoliv a kdekoliv. Online lékařské konzultace s lékaři registrovanými ve vaší zemi na trzích, kde působíme.info@myglobalhealth.online+34 692 722 898S'",page=13;api=13;consult_langs=Dutch;English;German;Hindi;Hungarian;Italian;Spanish;Urdu,pass,"title=ok;h1=ok;canonical=ok;robots=index, follow;html_lang=cs(match);og:locale=cs_ES",html/home_ES-cs.html;html/service_ES-cs.html;html/doctors_ES-cs.html;html/pricing_ES-cs.html;html/legal_ES-cs.html,2026-09-15T05:46:38Z
ES-ro,Spain,ro,/spain/ro,yes,"pass: doctors_on_page=13 vs api_roster=13; status=200;jsonld_types=['Answer', 'BreadcrumbList', 'ContactPoint', 'Country', 'EducationalOccupationalCredential', 'FAQPage', 'ImageObject', 'ListItem', 'MedicalOrganization', 'MedicalProcedure', 'MedicalWebPage', 'Offer', 'Organization', 'Person', 'PostalAddress', 'PropertyValue', 'QuantitativeValue', 'Question', 'ReserveAction', 'Service', 'WebSite'];jsonld_inLanguage=[]","see findings (sampled, not per-combo)",none (4.2% en stopwords),EUR/€,tz=Europe/Madrid;regulator=FOUND:Colegio de Médicos / colegiado;legal_entity_snippet='Medicină oricând și oriunde. Consultații medicale online cu medici înregistrați local pe piețele unde operăm.info@myglobalhealth.online+34 692 722 898Urmărește-',page=13;api=13;consult_langs=Dutch;English;German;Hindi;Hungarian;Italian;Spanish;Urdu,pass,"title=ok;h1=ok;canonical=ok;robots=index, follow;html_lang=ro(match);og:locale=ro_ES",html/home_ES-ro.html;html/service_ES-ro.html;html/doctors_ES-ro.html;html/pricing_ES-ro.html;html/legal_ES-ro.html,2026-09-15T05:46:38Z
ES-de,Spain,de,/spain/de,yes,"pass: doctors_on_page=13 vs api_roster=13; status=200;jsonld_types=['Answer', 'BreadcrumbList', 'ContactPoint', 'Country', 'EducationalOccupationalCredential', 'FAQPage', 'ImageObject', 'ListItem', 'MedicalOrganization', 'MedicalProcedure', 'MedicalWebPage', 'Offer', 'Organization', 'Person', 'PostalAddress', 'PropertyValue', 'QuantitativeValue', 'Question', 'ReserveAction', 'Service', 'WebSite'];jsonld_inLanguage=[]","see findings (sampled, not per-combo)",none (14.0% en stopwords),EUR/€,"tz=Europe/Madrid;regulator=FOUND:Colegio de Médicos / colegiado;legal_entity_snippet='Medizin jederzeit und überall. Online-Arztkonsultationen mit lokal registrierten Ärzten in den Märkten, in denen wir tätig sind.info@myglobalhealth.online+34 69'",page=13;api=13;consult_langs=Dutch;English;German;Hindi;Hungarian;Italian;Spanish;Urdu,pass,"title=ok;h1=ok;canonical=ok;robots=index, follow;html_lang=de(match);og:locale=de_ES",html/home_ES-de.html;html/service_ES-de.html;html/doctors_ES-de.html;html/pricing_ES-de.html;html/legal_ES-de.html,2026-09-15T05:46:38Z
