window,channel,breakdown,dimension_value,sessions,transactions,purchase_revenue,items_viewed,items_added_to_cart,items_purchased,item_revenue,activity_status,purchase_dedup_note,refresh_id,source
2026-07-25..2026-08-01,organic_search,landing_page,/portugal/pt/doctors/dra-margarida-andrade,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_organic.json
2026-07-25..2026-08-01,organic_search,landing_page,/romania/ro/doctors,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_organic.json
2026-07-25..2026-08-01,organic_search,landing_page,/spain/cs/services/cardiologo-online,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_organic.json
2026-07-25..2026-08-01,organic_search,landing_page,/spain/es/doctors/dr-fabiana-cornejo,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_organic.json
2026-07-25..2026-08-01,organic_search,landing_page,/spain/pt,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_organic.json
2026-09-09..2026-09-14,organic_search,landing_page,[NO ROWS],,,,,,,,none,No matching ecommerce activity was reported for this period and channel.,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_organic.json
2026-07-25..2026-08-01,all,landing_page,/,19,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_all.json
2026-07-25..2026-08-01,all,landing_page,/ireland/en,8,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_all.json
2026-07-25..2026-08-01,all,landing_page,/patient-upload,5,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_all.json
2026-07-25..2026-08-01,all,landing_page,/czechia/cs,4,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_all.json
2026-07-25..2026-08-01,all,landing_page,/reviews/rate,4,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_all.json
2026-07-25..2026-08-01,all,landing_page,(not set),3,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_all.json
2026-07-25..2026-08-01,all,landing_page,/ireland/en/blog/sick-certificate-ireland-employee-rights,3,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_all.json
2026-07-25..2026-08-01,all,landing_page,/,2,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_all.json
2026-07-25..2026-08-01,all,landing_page,/ireland/en/services/acute-medical-consultation,2,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_all.json
2026-07-25..2026-08-01,all,landing_page,/romania/ro/doctors,2,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_all.json
2026-07-25..2026-08-01,all,landing_page,/spain/en/services/consulta-medica-online,2,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_all.json
2026-07-25..2026-08-01,all,landing_page,/,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_all.json
2026-07-25..2026-08-01,all,landing_page,/blog,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_all.json
2026-07-25..2026-08-01,all,landing_page,/czechia/pt,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_all.json
2026-07-25..2026-08-01,all,landing_page,/ireland/en,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_all.json
2026-07-25..2026-08-01,all,landing_page,/checkout/success,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_all.json
2026-07-25..2026-08-01,all,landing_page,/about,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_all.json
2026-07-25..2026-08-01,all,landing_page,/brazil/en,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_all.json
2026-07-25..2026-08-01,all,landing_page,/brazil/pt/gp-consultation-online,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_all.json
2026-07-25..2026-08-01,all,landing_page,/checkout/success,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_all.json
2026-07-25..2026-08-01,all,landing_page,/cz/cs/book,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_all.json
2026-07-25..2026-08-01,all,landing_page,/czechia/cs/doctors,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_all.json
2026-07-25..2026-08-01,all,landing_page,/czechia/cs/doctors/mudr-ahmed-maklad,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_all.json
2026-07-25..2026-08-01,all,landing_page,/czechia/cs/doctors/mudr-vojtěch-černý,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_all.json
2026-07-25..2026-08-01,all,landing_page,/czechia/cs/services/cestovni-medicina-praha,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_all.json
2026-07-25..2026-08-01,all,landing_page,/czechia/cs/services/muzske-zdravi-online,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_all.json
2026-07-25..2026-08-01,all,landing_page,/czechia/en/book,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_all.json
2026-07-25..2026-08-01,all,landing_page,/ireland/en/book,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_all.json
2026-07-25..2026-08-01,all,landing_page,/ireland/en/doctors/dr-ahmed-maklad,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_all.json
2026-07-25..2026-08-01,all,landing_page,/ireland/en/doctors/dr-khoiamul-islam,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_all.json
2026-07-25..2026-08-01,all,landing_page,/ireland/en/doctors/dr-mirza-aun-mohammad,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_all.json
2026-07-25..2026-08-01,all,landing_page,/ireland/en/doctors/dr-mohammed-omar,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_all.json
2026-07-25..2026-08-01,all,landing_page,/ireland/en/doctors/dr-muhammad-usman-yoosuf,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_all.json
2026-07-25..2026-08-01,all,landing_page,/ireland/en/doctors/dr-tiago-miguel-figueira,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_all.json
2026-07-25..2026-08-01,all,landing_page,/ireland/es/health/sick-cert-online,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_all.json
2026-07-25..2026-08-01,all,landing_page,/ireland/pt/doctors,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_all.json
2026-07-25..2026-08-01,all,landing_page,/portugal/pt/doctors,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_all.json
2026-07-25..2026-08-01,all,landing_page,/portugal/pt/doctors/dr-lucas-alvarenga-berto,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_all.json
2026-07-25..2026-08-01,all,landing_page,/portugal/pt/doctors/dra-margarida-andrade,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_all.json
2026-07-25..2026-08-01,all,landing_page,/spain/cs/services/cardiologo-online,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_all.json
2026-07-25..2026-08-01,all,landing_page,/spain/es/doctors/dr-alfredo-del-valle,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_all.json
2026-07-25..2026-08-01,all,landing_page,/spain/es/doctors/dr-fabiana-cornejo,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_all.json
2026-07-25..2026-08-01,all,landing_page,/spain/pt,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_all.json
2026-09-09..2026-09-14,all,landing_page,/,82,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,,60,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/ireland/en/book,30,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/ireland/en,27,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,(not set),15,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/ireland/en/doctors/dr-mariam-faiz,10,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/spain/es/doctors/dr-alfredo-del-valle,10,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/romania/ro/tools/calorie-calculator,9,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/brazil/pt/dr-renato,8,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/cross-border-consent,8,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/czechia/cs/services/muzske-zdravi-online,8,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/patient-upload,8,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/brazil/en/careers,7,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/brazil/pt/book,7,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/czechia/cs,7,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/czechia/cs/tools/blood-pressure-chart,7,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/czechia/en,7,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/czechia/cs/services/obnoveni-lecby,6,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/portugal/pt/tools/blood-pressure-chart,6,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/spain/es/blog/baja-laboral-por-ansiedad-como-funciona,6,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/czechia/cs/tools/adhd-test,5,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/czechia/en/book,5,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/portugal/pt/doctors/dr-telmo-coelho,5,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/spain/en,5,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/czechia/cs/doctors,4,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/ireland/en/blog/illness-benefit-ireland-how-to-claim,4,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/ireland/en/careers,4,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/ireland/en/doctors,4,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/ireland/en/services/acute-medical-consultation,4,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/portugal/pt,4,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/portugal/pt/tools/calorie-calculator,4,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/romania/en,4,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/spain/ro/careers,4,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/czechia/cs/book,3,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/czechia/cs/doctors/dr-ahmed-maklad,3,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/ireland/en/blog/illness-benefit-payment-ireland-rate-tax-timing,3,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/ireland/pt/doctors,3,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/pay-status,3,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/romania/en/careers,3,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/romania/en/gp-consultation-online,3,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/spain/en/gp-consultation-online,3,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/spain/en/services/psiquiatra-online,3,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/spain/es/book,3,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/spain/es/doctors/dr-tomas-ruiz-palacios,3,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/spain/es/tools/blood-pressure-chart,3,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/spain/ro,3,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/verify/certificate/:id,3,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/brazil/pt/services/solicitacao-exames-online,2,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/checkout/success,2,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/czechia/cs/gp-consultation-online,2,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/czechia/cs/services/kontrola-vahy-online,2,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/czechia/cs/services/lekar-online-praha,2,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/czechia/cs/services/neschopenka-online,2,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/czechia/de,2,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/czechia/en/checkout/success,2,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/czechia/en/services/lekar-online-praha,2,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/czechia/pt,2,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/ireland/en/about,2,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/ireland/en/doctors/dr-emmanuel-dabup,2,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/ireland/en/doctors/dr-mohammed-omar,2,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/ireland/en/gp-consultation-online,2,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/ireland/en/lab-tests,2,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/ireland/en/lab-tests/general-health-test,2,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/ireland/en/lab-tests/male-hormone-test,2,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/ireland/en/pricing,2,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/ireland/es,2,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/ireland/es/lab-tests/female-hormone-test,2,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/ireland/pt,2,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/portugal/en,2,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/portugal/es/book,2,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/portugal/pt/book,2,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/portugal/pt/doctors/dr-tiago-miguel-figueira,2,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/portugal/pt/doctors/dra-nadia-cavaco,2,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/privacy,2,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/romania/en/book,2,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/romania/ro/blog/boli-cronice-programe-nationale-de-sanatate,2,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/romania/ro/blog/scrisoare-medicala-cine-o-elibereaza,2,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/so/tr/:id/c,2,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/spain/en/blog/sick-leave-anxiety-spain,2,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/spain/en/doctors,2,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/spain/es/blog/tension-arterial-normal-tabla-edad-sexo,2,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/spain/es/careers,2,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/api/account/invoices/:id/pdf,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/brazil/pt,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/brazil/pt/checkout/success,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/brazil/pt/contact,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/brazil/pt/faq,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/brazil/pt/gp-consultation-online,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/brazil/pt/services/saude-sexual-ist-online,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/czechia/cs/blog/diabetes-ticha-nemoc,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/czechia/cs/careers/prakticky-lekar-cesko,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/czechia/cs/services/doporuceni-a-vysetreni,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/czechia/cs/services/druhy-nazor-praha,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/czechia/cs/services/vypadavani-vlasu-online,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/czechia/cs/tools/osteoporosis-risk-checker,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/czechia/en/blog/czech-sick-pay-calculation-2026-employer-cssz,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/czechia/en/blog/neschopenka-czech-sick-note-explained,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/czechia/en/careers/prakticky-lekar-cesko,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/czechia/en/checkout,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
2026-09-09..2026-09-14,all,landing_page,/czechia/en/contact,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window2_all.json
