observed_at,country,prospect_domain,prospect_url,prospect_type,relevance,authority_metric,proposed_target,rationale,priority,outreach_status,origin,source_file,paid_link
2026-09-15,ireland,irishheart.ie,,Non-profit/resource prospect,High,Unavailable,/ireland/en/tools/blood-pressure-chart,Offer an independently useful update or original anonymised data only if it fills a real resource gap,P2,not contacted,repo (2026-08-25),seo/ireland/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,ireland,irishcollegeofgps.ie,,Professional body prospect,High,Unavailable,Clinical governance/editorial policy page,"Participate through genuine professional contribution, not link requests",P3,not contacted,repo (2026-08-25),seo/ireland/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,ireland,unavailable,,Broken-link replacement,Medium,Unavailable,Relevant clinician-reviewed Ireland guide,Run a separate broken-link crawl before any outreach; no qualifying broken competitor URL was established in this batch,P3,not contacted,repo (2026-08-25),seo/ireland/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,medium.seznam.cz,https://medium.seznam.cz/clanek/cinefil-obesita-se-stava-novym-zivotnim-stylem-zdravotnim-rizikum-navzdory-68857,health/medical publication,medical/expat resource,domain_rank 85,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,P1,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,bc.cas.cz,https://www.bc.cas.cz/en/employees/guide-for-expats/database-of-english-speaking-contacts/,expat/English resource,medical/expat resource,domain_rank 85,https://www.myglobalhealth.online/czechia/en/services/lekar-online-praha,Potential English-speaking-care resource; verify editorial fit and inclusion criteria.,P0,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,zeny.e15.cz,https://zeny.e15.cz/diskuze/dotaz/29/2,news/media,medical/expat resource,domain_rank 84,https://www.myglobalhealth.online/czechia/cs/blog/neschopenka-jak-funguje-eneschopenka,Possible source-update or expert-comment opportunity; no paid placement assumed.,P1,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,forum.finexpert.e15.cz,https://forum.finexpert.e15.cz/viewtopic.php?f=316&t=301647&st=0&sk=t&sd=a&start=15120,news/media,medical/expat resource,domain_rank 84,https://www.myglobalhealth.online/czechia/cs/blog/neschopenka-jak-funguje-eneschopenka,Possible source-update or expert-comment opportunity; no paid placement assumed.,P1,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,denik.cz,https://www.denik.cz/zdravi/emocni-jedeni-leky-na-hubnuti.html,health/medical publication,medical/expat resource,domain_rank 83,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,P1,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,hodoninsky.denik.cz,https://hodoninsky.denik.cz/zpravy_region/jak-najit-nejlepsiho-lekare-pacienti-tapou20081127.html,health/medical publication,medical/expat resource,domain_rank 83,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,P1,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,euro.cz,https://www.euro.cz/pr-clanky/lekar-online-realna-alternativa-k-fyzicke-navsteve-lekare/,health/medical publication,medical/expat resource,domain_rank 82,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,P1,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,zena-in.cz,https://zena-in.cz/clanek/bolest-zad-druhy-priciny-lecba-a-prevence,news/media,medical/expat resource,domain_rank 80,https://www.myglobalhealth.online/czechia/cs/blog/neschopenka-jak-funguje-eneschopenka,Possible source-update or expert-comment opportunity; no paid placement assumed.,P1,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,tn.nova.cz,https://tn.nova.cz/zpravodajstvi/clanek/274725-leto-v-evrope-tipy-kde-si-odpocinete-i-od-alergie,news/media,medical/expat resource,domain_rank 79,https://www.myglobalhealth.online/czechia/cs/blog/neschopenka-jak-funguje-eneschopenka,Possible source-update or expert-comment opportunity; no paid placement assumed.,P1,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,help.docplanner.com,https://help.docplanner.com/107/doc/prvni-pristup-jak-vyhledavat,relevant-site review,medical/expat resource,domain_rank 79,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Manual topical and editorial-quality verification required before outreach.,P2,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,goodpods.com,https://goodpods.com/podcasts/petr-m%C3%A1ra-podcast-220373/podcast-19-pl%C3%A1n-b-nov%C3%BD-norm%C3%A1ln%C3%AD-norm%C3%A1l-25162458,relevant-site review,medical/expat resource,domain_rank 79,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Manual topical and editorial-quality verification required before outreach.,P2,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,prazska.drbna.cz,https://prazska.drbna.cz/6657-praktik-odhali-varovne-signaly-jako-prvni.html,news/media,medical/expat resource,domain_rank 77,https://www.myglobalhealth.online/czechia/cs/blog/neschopenka-jak-funguje-eneschopenka,Possible source-update or expert-comment opportunity; no paid placement assumed.,P1,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,bety.cz,https://www.bety.cz/zdravi-a-zivotni-styl/clanky/2510/Bolest-hlavy-Nerozvazne-polykani-pilulek-je-cesta-do-pekel,health/medical publication,medical/expat resource,domain_rank 77,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,P1,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,trustburn.com,https://trustburn.com/reviews/ulekare-cz,health/medical publication,medical/expat resource,domain_rank 75,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,P1,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,nette.org,https://nette.org/fr/,relevant-site review,medical/expat resource,domain_rank 75,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Manual topical and editorial-quality verification required before outreach.,P2,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,emimino.cz,https://www.emimino.cz/diskuse/vlasta-kulova-367132/,relevant-site review,medical/expat resource,domain_rank 75,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Manual topical and editorial-quality verification required before outreach.,P2,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,zeny.iprima.cz,https://zeny.iprima.cz/zdravi/zanet-dutin-hlava-jako-vcelin,health/medical publication,medical/expat resource,domain_rank 75,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,P1,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,cnn.iprima.cz,https://cnn.iprima.cz/zeny-maji-na-trhu-sve-misto-sanci-jim-dava-druhy-rocnik-programu-women-in-tech-418576,news/media,medical/expat resource,domain_rank 75,https://www.myglobalhealth.online/czechia/cs/blog/neschopenka-jak-funguje-eneschopenka,Possible source-update or expert-comment opportunity; no paid placement assumed.,P1,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,vlasta.cz,https://www.vlasta.cz/zdravi/upal-vs-uzeh-priznaky-slunce-zdravi-teplota/,health/medical publication,medical/expat resource,domain_rank 73,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,P1,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,dumazahrada.cz,https://www.dumazahrada.cz/domacnost/frekvence-stolice-delka-zivota-nemoc-zdravi-problem/,health/medical publication,medical/expat resource,domain_rank 73,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,P1,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,kondice.cz,https://www.kondice.cz/zdravi-a-vyziva/probiotika-menopauza-zdravi-po-padesatce.html,health/medical publication,medical/expat resource,domain_rank 73,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,P1,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,kupi.cz,https://www.kupi.cz/magazin/clanek/18274-cestovni-lekarnicka-dovolena,health/medical publication,medical/expat resource,domain_rank 73,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,P1,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,fitzivot.cz,https://www.fitzivot.cz/magazin/alergicka-ryma-priciny-moderni-lecba/,relevant-site review,medical/expat resource,domain_rank 73,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Manual topical and editorial-quality verification required before outreach.,P2,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,kvety.cz,https://www.kvety.cz/zajimavosti/kyberchondrie-diagnoza-z-internetu-cesi-pruzkum/,relevant-site review,medical/expat resource,domain_rank 73,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Manual topical and editorial-quality verification required before outreach.,P2,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,svetzeny.cz,https://www.svetzeny.cz/zdravi/chrapani-i-chronickou-rymu-lze-resit-laserovou-operaci,health/medical publication,medical/expat resource,domain_rank 73,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,P1,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,iglanc.cz,https://www.iglanc.cz/zdravi/jak-si-udrzet-vahu-po-zhubnuti-jojo-efekt-hubnuti/,health/medical publication,medical/expat resource,domain_rank 72,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,P1,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,fastbase.com,https://www.fastbase.com/countryindex/Czech-Republic/M/Medical-laboratory,health/medical publication,medical/expat resource,domain_rank 71,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,P1,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,nkz.cz,https://www.nkz.cz/promotion/volny-cas/zelena-domacnost/kdyz-oci-volaji-o-pomoc-poslouchejte?utm_campaign=pr_article,relevant-site review,medical/expat resource,domain_rank 71,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Manual topical and editorial-quality verification required before outreach.,P2,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,talk.youradio.cz,https://talk.youradio.cz/porady/psychochat/e33-manicke-predsevzeti-motivace-vyhoreni-vnimani-noveho-roku-a-mnohem-vic,relevant-site review,medical/expat resource,domain_rank 71,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Manual topical and editorial-quality verification required before outreach.,P2,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,medvik.cz,https://www.medvik.cz/medlike/poporodni_deprese/?format=,relevant-site review,medical/expat resource,domain_rank 71,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Manual topical and editorial-quality verification required before outreach.,P2,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,mapy.atlasfirem.info,https://mapy.atlasfirem.info/katalog/instituce-a-organizace/zdravotnicka-zarizeni/lekarske-ordinace/psychiatrie/stat-1-ceska-republika-strana-1.html,health/medical publication,medical/expat resource,domain_rank 70,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,P1,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,modrykonik.sk,https://www.modrykonik.sk/forum/moje-zdravie/antibiotika-a-probiotika-2/,health/medical publication,medical/expat resource,domain_rank 70,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,P1,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,umo3.plzen.eu,https://umo3.plzen.eu/zivot-v-obvodu/zdravotnictvi/euc-klinika-plzen/,health/medical publication,medical/expat resource,domain_rank 69,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,P1,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,feedit.cz,https://www.feedit.cz/2021/09/01/operace-bez-nutne-hospitalizace-jednodenni-chirurgie-se-stava-trendem-i-v-ceske-republice/,relevant-site review,medical/expat resource,domain_rank 69,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Manual topical and editorial-quality verification required before outreach.,P2,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,podcast.utb.cz,https://podcast.utb.cz/porady/homo-academicus/,relevant-site review,medical/expat resource,domain_rank 69,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Manual topical and editorial-quality verification required before outreach.,P2,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,info-morava.cz,https://www.info-morava.cz/katalog/instituce-a-organizace/zdravotnicka-zarizeni/lekarske-ordinace/gynekologie/area-2-morava-strana-1.html,health/medical publication,medical/expat resource,domain_rank 68,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,P1,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,modrykonik.cz,https://www.modrykonik.cz/forum/hledame-lekare/kde-v-praze-najit-levne-a-rychle-sono-prsu/,health/medical publication,medical/expat resource,domain_rank 68,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,P1,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,atlasfiriem.info,https://www.atlasfiriem.info/katalog/institucie-a-organizacie/zdravotnicke-zariadenia/lekarske-ordinacie/radiodiagnostika/svet-strana-2.html,health/medical publication,medical/expat resource,domain_rank 67,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,P1,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,info-ostrava.cz,https://www.info-ostrava.cz/katalog/instituce-a-organizace/zdravotnicka-zarizeni/nemocnice/luzkova-oddeleni/kardiologie-a-kardiochirurgie/okres-34-ostrava-mesto-strana-1.html,health/medical publication,medical/expat resource,domain_rank 67,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,P1,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,info-frydek-mistek.cz,https://www.info-frydek-mistek.cz/katalog/instituce-a-organizace/zdravotnicka-zarizeni/pracovnelekarske-sluzby/okres-30-frydek-mistek-strana-1.html,health/medical publication,medical/expat resource,domain_rank 67,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,P1,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,info-pardubice.eu,https://www.info-pardubice.eu/katalog/instituce-a-organizace/zdravotnicka-zarizeni/pracovnelekarske-sluzby/kraj-9-pardubicky-kraj-strana-1.html,health/medical publication,medical/expat resource,domain_rank 67,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,P1,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,info-hradec.cz,https://www.info-hradec.cz/katalog/instituce-a-organizace/zdravotnicka-zarizeni/lekarske-ordinace/andrologie/okres-19-hradec-kralove-strana-1.html,health/medical publication,medical/expat resource,domain_rank 67,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,P1,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,info-budejovice.cz,https://www.info-budejovice.cz/katalog/instituce-a-organizace/zdravotnicka-zarizeni/pracovnelekarske-sluzby/okres-2-ceske-budejovice-strana-1.html,health/medical publication,medical/expat resource,domain_rank 67,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,P1,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,infozlin.cz,https://www.infozlin.cz/katalog/instituce-a-organizace/zdravotnicka-zarizeni/pracovnelekarske-sluzby/okres-77-zlin-strana-1.html,health/medical publication,medical/expat resource,domain_rank 67,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,P1,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,info-kladno.cz,https://www.info-kladno.cz/katalog/sluzby-a-remesla/spolecenske-sluzby/grafologie/okres-52-kladno-strana-1.html,relevant-site review,medical/expat resource,domain_rank 67,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Manual topical and editorial-quality verification required before outreach.,P2,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,jobspin.cz,https://www.jobspin.cz/konference-prace-bez-hranic-jak-uspesne-zamestnavat-cizince-v-cesku/,relevant-site review,medical/expat resource,domain_rank 67,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Manual topical and editorial-quality verification required before outreach.,P2,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,navolnenoze.cz,https://navolnenoze.cz/prezentace/jaroslava-novakova/,news/media,medical/expat resource,domain_rank 66,https://www.myglobalhealth.online/czechia/cs/blog/neschopenka-jak-funguje-eneschopenka,Possible source-update or expert-comment opportunity; no paid placement assumed.,P1,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,info-olomouc.cz,https://www.info-olomouc.cz/katalog/instituce-a-organizace/zdravotnicka-zarizeni/nemocnice/luzkova-oddeleni/kardiologie-a-kardiochirurgie/okres-1-olomouc-strana-1.html,health/medical publication,medical/expat resource,domain_rank 66,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,P1,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,info-havirov.cz,https://www.info-havirov.cz/katalog/instituce-a-organizace/zdravotnicka-zarizeni/lekarske-ordinace/interni-ordinace/onkologie/obec-368-havirov-strana-1.html,health/medical publication,medical/expat resource,domain_rank 66,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,P1,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,info-prerov.cz,https://www.info-prerov.cz/katalog/instituce-a-organizace/zdravotnicka-zarizeni/lekarske-ordinace/interni-ordinace/onkologie/okres-37-prerov-strana-1.html,health/medical publication,medical/expat resource,domain_rank 66,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,P1,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,info-karvina.cz,https://www.info-karvina.cz/katalog/instituce-a-organizace/zdravotnicka-zarizeni/nemocnice/luzkova-oddeleni/interni-oddeleni/okres-31-karvina-strana-1.html,health/medical publication,medical/expat resource,domain_rank 66,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,P1,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,info-liberec.cz,https://www.info-liberec.cz/katalog/instituce-a-organizace/zdravotnicka-zarizeni/pracovnelekarske-sluzby/okres-26-liberec-strana-1.html,health/medical publication,medical/expat resource,domain_rank 66,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,P1,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,info-ceskalipa.cz,https://www.info-ceskalipa.cz/katalog/instituce-a-organizace/zdravotnicka-zarizeni/pracovnelekarske-sluzby/okres-24-ceska-lipa-strana-1.html,health/medical publication,medical/expat resource,domain_rank 66,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,P1,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,regionusti.cz,https://www.regionusti.cz/zpravodajstvi/pohyb-by-mel-delat-radost-ne-bolet-156345/,relevant-site review,medical/expat resource,domain_rank 66,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Manual topical and editorial-quality verification required before outreach.,P2,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,czechia,info-usti.cz,https://www.info-usti.cz/katalog/firma-velkoobchod-vyroba/kogenerace/okres-68-usti-nad-labem-strana-1.html,relevant-site review,medical/expat resource,domain_rank 66,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Manual topical and editorial-quality verification required before outreach.,P2,not contacted,repo (2026-08-31),seo/czechia/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
