coupling_id,file,line,expression,kind,markets_served,markets_excluded,public_output_affected,other_markets_render_today,wrong_or_generic,production_evidence,smallest_generic_fix,effort_1_5,blocks_new_country,template_fix_id,status,notes
CC-3329,frontend/app/[country]/[lang]/services/[serviceSlug]/page.tsx,261,"const visibleCountryName = code === ""br"" ? (c.countryNames?.[code] ?? config.name) : config.name;",one_market_content,br,"ie,cz,pt,es,ro",/{country}/{lang}/services/{slug} hero country pill + 'Registered in {country}' trust line,Renders 'Czechia' / 'Spain' / 'Romania' inside cs/es/ro copy,wrong,https://www.myglobalhealth.online/czechia/cs/services/obnoveni-lecby 2026-09-15: 'Czechia' present in a fully Czech page,Same one-line removal,1,yes,TF-02,proposed,
CC-3637,frontend/lib/content/doctor-profile-page.tsx,211,"(code === ""br"" ? c.countryNames?.[code] : undefined) ?? routeConfig?.name ?? data.profile.country",one_market_content,br,"ie,cz,pt,es,ro","/{country}/{lang}/doctors/{slug} <title> market suffix, country pill, 'Registered in {country}'",English seed name inside a localized title,wrong,https://www.myglobalhealth.online/czechia/cs/doctors/dr-ahmed-maklad 2026-09-15: <title> 'MUDr. Ahmed Maklad | Prakticky lekar online v Cesku - Czechia',Drop the ternary - breadcrumbCountryName on line 216 already does the generic thing correctly two lines below,1,yes,TF-02,proposed,"Clearest live proof of the pattern: two adjacent lines, one generic and correct, one Brazil-gated and wrong."
CC-3405,frontend/components/sections/VerifiedProfessionals.tsx,238-240,"const isBrPt = country===""BR"" && locale===""pt""; const isPtPt = country===""PT"" && locale===""pt""; const c = isBrPt ? BR_PT_COPY : isPtPt ? PT_PT_COPY : COPY[locale]",one_market_content,"br, pt (partly dead)","ie,cz,es,ro",Home + /doctors trust block headline and body copy,COPY[locale] shared copy; both pt markets share European Portuguese,generic,https://www.myglobalhealth.online/portugal/pt 2026-09-15: shared pt copy renders; PT_PT_COPY unreachable from home (country not passed),Replace the two booleans with MARKET_COPY[code]?.[locale] ?? COPY[locale] - the same table shape lib/tools/market-copy.ts already uses,2,yes,TF-02,proposed,Comparison is uppercase here and lowercase elsewhere - same casing fragility as country-home-copy.ts.
CC-3317,frontend/app/[country]/[lang]/pricing/page.tsx,42,"const irelandSeo = code === ""ie"" ? irelandStaticPageSeo(""PRICING"", lang as LocaleCode) : null;",one_market_content,ie,"cz (partial), pt (partial), es, ro, br","/{country}/{lang}/pricing <title>, <meta description>, H1","Generic i18n template title, e.g. 'Sobre Global Health Espana - Global Health'",generic,https://www.myglobalhealth.online/ireland/en/pricing 2026-09-15: 'Online GP Membership Plans Ireland | Monthly Care' vs https://www.myglobalhealth.online/spain/es/pricing 'Elija su plan mensual - Espana - Global Health',"One staticPageSeo(code, locale, pageKey) reading a single Record<code, Record<locale, Record<pageKey, Seo>>> (or the existing PageContent CMS rows); delete the three per-country modules and the code === ""ie"" guard",3,yes,TF-03,proposed,Ireland has 6 locales x 3 pages; Czechia cs only; Portugal pt only; es/ro/br have none.
CC-3214,frontend/app/[country]/[lang]/contact/page.tsx,58,"const irelandSeo = code === ""ie"" ? irelandStaticPageSeo(""CONTACT"", lang as LocaleCode) : null;",one_market_content,ie,"cz (partial), pt (partial), es, ro, br","/{country}/{lang}/contact <title>, <meta description>, H1","Generic i18n template title, e.g. 'Sobre Global Health Espana - Global Health'",generic,https://www.myglobalhealth.online/ireland/en/pricing 2026-09-15: 'Online GP Membership Plans Ireland | Monthly Care' vs https://www.myglobalhealth.online/spain/es/pricing 'Elija su plan mensual - Espana - Global Health',"One staticPageSeo(code, locale, pageKey) reading a single Record<code, Record<locale, Record<pageKey, Seo>>> (or the existing PageContent CMS rows); delete the three per-country modules and the code === ""ie"" guard",3,yes,TF-03,proposed,Ireland has 6 locales x 3 pages; Czechia cs only; Portugal pt only; es/ro/br have none.
CC-3155,frontend/app/[country]/[lang]/about/page.tsx,80,"const irelandSeo = code === ""ie"" ? irelandStaticPageSeo(""ABOUT"", lang as LocaleCode) : null;",one_market_content,ie,"cz (partial), pt (partial), es, ro, br","/{country}/{lang}/about <title>, <meta description>, H1","Generic i18n template title, e.g. 'Sobre Global Health Espana - Global Health'",generic,https://www.myglobalhealth.online/ireland/en/pricing 2026-09-15: 'Online GP Membership Plans Ireland | Monthly Care' vs https://www.myglobalhealth.online/spain/es/pricing 'Elija su plan mensual - Espana - Global Health',"One staticPageSeo(code, locale, pageKey) reading a single Record<code, Record<locale, Record<pageKey, Seo>>> (or the existing PageContent CMS rows); delete the three per-country modules and the code === ""ie"" guard",3,yes,TF-03,proposed,Ireland has 6 locales x 3 pages; Czechia cs only; Portugal pt only; es/ro/br have none.
CC-3590,frontend/lib/content/czechia-static-page-seo.ts,86-92,"return countryCode === ""cz"" && locale === ""cs"" ? COPY[path] ?? null : null;",one_market_content,cz (cs only),"ie,pt,es,ro,br + cz's other five locales","/{country}/{lang}/{about,blog,book,careers,contact,faq,legal,legal/[type],press,pricing} title/description/H1",Generic i18n templates for every other market and for Czechia's other five locales,generic,https://www.myglobalhealth.online/czechia/cs/faq 2026-09-15: 'Caste otazky | Global Health Cesko' vs https://www.myglobalhealth.online/spain/es/faq 'Preguntas frecuentes - Espana - Global Health',"Same shared staticPageSeo(code, locale, pageKey) loader; the gate becomes a data-lookup miss, not an if",2,yes,TF-03,proposed,Imported by 11 templates - the highest-fan-out one-market module in the frontend.
CC-3667,frontend/lib/content/portugal-static-page-seo.ts,27-33,"return countryCode === ""pt"" && locale === ""pt"" ? COPY[path] ?? null : null;",one_market_content,pt (pt only),"ie,cz,es,ro,br","/{country}/{lang}/{pricing,faq} title/description/H1/lede",Generic i18n template,generic,https://www.myglobalhealth.online/portugal/pt/faq 2026-09-15: 'Perguntas frequentes sobre consultas online | Portugal',Same shared loader,1,yes,TF-03,proposed,"Its pricing entry is already dead - Portugal now has plans, so pricing/page.tsx line 97 passes null."
CC-3648,frontend/lib/content/ireland-static-page-seo.ts,142-147,"export function irelandStaticPageSeo(page, locale) { return COPY[locale][page]; }",one_market_content,ie,"cz,pt,es,ro,br","/{country}/{lang}/{pricing,about,contact}",Generic i18n template,generic,https://www.myglobalhealth.online/ireland/en/about 2026-09-15: 'About Our Online Clinic in Ireland | Global Health',"Same shared loader - note this one is keyed locale-first and gated by the caller, a third signature for the same job",2,yes,TF-03,proposed,"Three modules, three signatures, three gating conventions for one concept."
CC-3256,frontend/app/[country]/[lang]/faq/page.tsx,134-135,"const czechiaSeo = czechiaStaticPageSeo(code, lang, ""faq"");",one_market_content,cz,"ie,pt,es,ro,br","/{country}/{lang}/faq <title>, <meta description>, H1",Generic i18n template title for the other five markets,generic,https://www.myglobalhealth.online/czechia/cs/book 2026-09-15: 'Objednat online konzultaci | Global Health Cesko' vs https://www.myglobalhealth.online/portugal/pt/book 'Marque a sua consulta - Portugal - Global Health',"Replace the named import with the shared staticPageSeo(code, locale, pageKey) call",1,yes,TF-03,proposed,Mechanical once the TF-03 loader lands.
CC-3276,frontend/app/[country]/[lang]/legal/page.tsx,62,"const czechiaSeo = czechiaStaticPageSeo(code, lang, ""legal"");",one_market_content,cz,"ie,pt,es,ro,br","/{country}/{lang}/legal <title>, <meta description>, H1",Generic i18n template title for the other five markets,generic,https://www.myglobalhealth.online/czechia/cs/book 2026-09-15: 'Objednat online konzultaci | Global Health Cesko' vs https://www.myglobalhealth.online/portugal/pt/book 'Marque a sua consulta - Portugal - Global Health',"Replace the named import with the shared staticPageSeo(code, locale, pageKey) call",1,yes,TF-03,proposed,Mechanical once the TF-03 loader lands.
CC-3271,frontend/app/[country]/[lang]/legal/[type]/page.tsx,72,"const czechiaSeo = czechiaStaticPageSeo(code, lang, ""legal/{type}"");",one_market_content,cz,"ie,pt,es,ro,br","/{country}/{lang}/legal/{type} <title>, <meta description>, H1",Generic i18n template title for the other five markets,generic,https://www.myglobalhealth.online/czechia/cs/book 2026-09-15: 'Objednat online konzultaci | Global Health Cesko' vs https://www.myglobalhealth.online/portugal/pt/book 'Marque a sua consulta - Portugal - Global Health',"Replace the named import with the shared staticPageSeo(code, locale, pageKey) call",1,yes,TF-03,proposed,Mechanical once the TF-03 loader lands.
CC-3309,frontend/app/[country]/[lang]/press/page.tsx,97,"const czechiaSeo = czechiaStaticPageSeo(code, lang, ""press"");",one_market_content,cz,"ie,pt,es,ro,br","/{country}/{lang}/press <title>, <meta description>, H1",Generic i18n template title for the other five markets,generic,https://www.myglobalhealth.online/czechia/cs/book 2026-09-15: 'Objednat online konzultaci | Global Health Cesko' vs https://www.myglobalhealth.online/portugal/pt/book 'Marque a sua consulta - Portugal - Global Health',"Replace the named import with the shared staticPageSeo(code, locale, pageKey) call",1,yes,TF-03,proposed,Mechanical once the TF-03 loader lands.
CC-3174,frontend/app/[country]/[lang]/careers/page.tsx,55,"const czechiaSeo = czechiaStaticPageSeo(code, lang, ""careers"");",one_market_content,cz,"ie,pt,es,ro,br","/{country}/{lang}/careers <title>, <meta description>, H1",Generic i18n template title for the other five markets,generic,https://www.myglobalhealth.online/czechia/cs/book 2026-09-15: 'Objednat online konzultaci | Global Health Cesko' vs https://www.myglobalhealth.online/portugal/pt/book 'Marque a sua consulta - Portugal - Global Health',"Replace the named import with the shared staticPageSeo(code, locale, pageKey) call",1,yes,TF-03,proposed,Mechanical once the TF-03 loader lands.
CC-3157,frontend/app/[country]/[lang]/blog/page.tsx,42,"const czechiaSeo = czechiaStaticPageSeo(code, lang, ""blog"");",one_market_content,cz,"ie,pt,es,ro,br","/{country}/{lang}/blog <title>, <meta description>, H1",Generic i18n template title for the other five markets,generic,https://www.myglobalhealth.online/czechia/cs/book 2026-09-15: 'Objednat online konzultaci | Global Health Cesko' vs https://www.myglobalhealth.online/portugal/pt/book 'Marque a sua consulta - Portugal - Global Health',"Replace the named import with the shared staticPageSeo(code, locale, pageKey) call",1,yes,TF-03,proposed,Mechanical once the TF-03 loader lands.
CC-3168,frontend/app/[country]/[lang]/book/page.tsx,190,"const czechiaSeo = czechiaStaticPageSeo(code, lang, ""book"");",one_market_content,cz,"ie,pt,es,ro,br","/{country}/{lang}/book <title>, <meta description>, H1",Generic i18n template title for the other five markets,generic,https://www.myglobalhealth.online/czechia/cs/book 2026-09-15: 'Objednat online konzultaci | Global Health Cesko' vs https://www.myglobalhealth.online/portugal/pt/book 'Marque a sua consulta - Portugal - Global Health',"Replace the named import with the shared staticPageSeo(code, locale, pageKey) call",1,yes,TF-03,proposed,Mechanical once the TF-03 loader lands.
CC-3436,frontend/lib/content/blog-index-page.tsx,17,"const czechiaSeo = czechiaStaticPageSeo(code, lang, ""blog"");",one_market_content,cz,"ie,pt,es,ro,br","/{country}/{lang}/blog <title>, <meta description>, H1",Generic i18n template title for the other five markets,generic,https://www.myglobalhealth.online/czechia/cs/book 2026-09-15: 'Objednat online konzultaci | Global Health Cesko' vs https://www.myglobalhealth.online/portugal/pt/book 'Marque a sua consulta - Portugal - Global Health',"Replace the named import with the shared staticPageSeo(code, locale, pageKey) call",1,yes,TF-03,proposed,Mechanical once the TF-03 loader lands.
CC-3318,frontend/app/[country]/[lang]/pricing/page.tsx,44,"const portugalPlans = code === ""pt"" && isCountryFeatureEnabled(config, ""subscriptions"") ? await getCountryPlansResult(code, lang) : null;",one_market_content,pt,"ie,cz,es,ro,br",/{country}/{lang}/pricing metadata branch (plans vs 'no plans yet' copy),"Other markets skip the plan probe in metadata, so a market with live plans but no CMS SEO gets the generic title",generic,https://www.myglobalhealth.online/brazil/pt/pricing 2026-09-15: '<title>Escolha o seu plano mensal - Brasil - Global Health' with live R$150/R$250/R$300 plans on the page,"Drop the code === ""pt"" && prefix - the feature flag alone is the rule",1,yes,TF-03,proposed,The feature flag is the legitimate mechanism; the country literal in front of it is the coupling.
CC-3839,frontend/lib/i18n/load-locale.ts,169-174,"const isRomania = country === ""ro"" || country === ""romania""; const isSpain = ...; const isBrazil = brazilOnly(country) !== undefined;",cache_loader_routing_special_case,"ro,es,br","ie,cz,pt","Every public page in ro/es/br - all shared i18n strings (nav, hero, forms, FAQ, legal, tools)",ie/cz/pt get the unmodified shared language bundle; no mechanism exists for them to carry a market editorial layer,generic,https://www.myglobalhealth.online/brazil/pt 2026-09-15: hero 'Cuidados medicos online no Brasil' shows the br layer applied; https://www.myglobalhealth.online/portugal/pt uses the base pt bundle,"One convention: lib/i18n/market-overrides/<code>.json auto-discovered by a single index and merged as deepMergeLocale(shared, overrides[country]?.[locale]). No named imports, no chained ternary",2,yes,TF-04,proposed,"Legitimate need (pt-BR vs pt-PT, Spain sick-leave wording) implemented as three hardcoded branches."
CC-3849,frontend/lib/i18n/load-locale.ts,175,const cacheKey = isRomania ? `${locale}:ro` : isSpain ? `${locale}:es` : isBrazil ? `${locale}:br` : locale;,cache_loader_routing_special_case,"ro,es,br","ie,cz,pt",none (module-level bundle cache key),Every other market shares the bare `locale` cache entry,correct,not public,"const cacheKey = overrides[country] ? `${locale}:${country}` : locale; - one expression, any market",1,yes,TF-04,proposed,A 7th market needing an override layer silently shares the shared-locale cache entry until someone edits this line.
CC-3852,frontend/lib/i18n/load-locale.ts,176-190,"const bundle = isRomania ? deepMergeLocale(shared, romaniaEditorialCopy[locale]) : isSpain ? ... : isBrazil ? ... : shared;",cache_loader_routing_special_case,"ro,es,br","ie,cz,pt",All shared i18n copy on ro/es/br public pages,ie/cz/pt render `shared` with no market layer,generic,https://www.myglobalhealth.online/spain/es 2026-09-15: Spain sick-leave wording from spain-editorial-copy.json is live,Table-driven merge over the auto-discovered override map,2,yes,TF-04,proposed,
CC-3833,frontend/lib/i18n/load-locale.ts,158-165,"export function brazilOnly(country) { return country === ""br"" || country === ""brazil"" ? country : undefined; }",cache_loader_routing_special_case,br,"ie,cz,pt,es,ro",none directly; used at ~20 call sites to opt a page into the Brazil layer only,Call sites that pass brazilOnly(code) deliberately withhold the ro/es layers from those pages,wrong,not public,"Delete once the override map is data-driven and per-page opt-in is expressed as a namespace list, not a country name",2,yes,TF-04,proposed,A helper named after one market and used across the codebase is the clearest single symptom of the coupling.
CC-3956,frontend/lib/tools/market-copy.ts,1-5,import romaniaEditorialToolCopy / czechiaApprovedToolSeo / portugalApprovedToolSeo from their JSON files,one_market_content,"ro,cz,pt","ie, es (one link only), br (inline TS)","/{country}/{lang}/tools/{slug} title, description, H1, lede, trust points, FAQ, band labels",Ireland renders the shared language copy; Spain has one hand-written link override,correct,https://www.myglobalhealth.online/romania/ro/tools/bmi-calculator 2026-09-15: 'Calculator IMC Romania | Calculeaza-ti IMC - Global Health',"Move all three JSON files plus the inline BR_PT_* blocks to lib/tools/market-copy/<code>.json loaded by one index; MARKET_COPY becomes generated, not hand-written",2,no,TF-05,proposed,"MARKET_COPY itself is a good data-driven table; the problem is three named imports plus ~1,300 lines of inline Brazil TS in the same file."
CC-3957,frontend/lib/tools/market-copy.ts,2540-2582,"const MARKET_COPY = { ro: romaniaEditorialToolCopy, pt: {pt:...}, es: {es:...}, cz: {cs:...}, br: {pt: {tools: BR_PT_*}} }",one_market_content,"ro,pt,es,cz,br",ie,/{country}/{lang}/tools/{slug} full tool copy,"Ireland renders the shared `en` tool copy (written for Ireland, so correct by accident)",correct,https://www.myglobalhealth.online/ireland/en/tools/bmi-calculator 2026-09-15: 'BMI Calculator Ireland | Free Body Mass Index Check',Per-country JSON files + generated index; same runtime shape,2,no,TF-05,proposed,"Brazil's ~1,300 inline lines make this the largest file in frontend/lib."
CC-2736,backend/src/content/romania-clinical-review.ts,973-990,"export function reviewedRomaniaTransaction(client, work) { ... if (before) assertRomaniaClinicalChanges(); if (spain) assertSpainClinicalChanges(); if (brazil) assertBrazilClinicalChanges(); }",legitimate_market_rule,"ro,es,br","ie,cz,pt",none directly - gates admin CMS writes to Service/ServiceFaq/ServiceLink/Doctor content that IS public,ie/cz/pt CMS writes commit with no clinical-approval check at all,wrong,not public,"Rename to reviewedClinicalTransaction and drive it from a Country.clinicalApprovalMode field plus a ClinicalApproval table (stateSha256, reviewerDoctorId, reviewedAt, evidence) instead of three hardcoded const registries",4,yes,TF-06,proposed,"Genuine market rule, wrong implementation. Imported by 12 runtime services/routes; the function name names one market while gating three."
CC-2675,backend/src/content/romania-clinical-review.ts,49-60,"export const SPAIN_REVIEW_POLICY / APPROVED_SPAIN_STATES: Record<string, SpainApproval[]>",legitimate_market_rule,es,"ie,cz,pt,ro (different shape), br",none (approval ledger),No equivalent exists for ie/cz/pt,correct,not public,"ClinicalApproval DB table: one row per approved state hash, admin-visible",3,yes,TF-06,proposed,"Approval evidence (including 'verbal, reported by the owner') is stored as a source-code literal - no audit surface for the owner or the reviewing doctor."
CC-2714,backend/src/content/romania-clinical-review.ts,558-840,export const BRAZIL_REVIEW_POLICY / APPROVED_BRAZIL_STATES; assertSpainClinicalChanges / assertBrazilClinicalChanges,legitimate_market_rule,br,"ie,cz,pt",none (approval ledger),No equivalent for ie/cz/pt,correct,not public,Same ClinicalApproval table,3,yes,TF-06,proposed,81KB file; roughly 90% of it is approval hashes that belong in a table.
CC-3588,frontend/lib/content/czechia-approved-doctor-faqs.ts,1-120,"applyCzechiaApprovedDoctorFaqs: if (countryCode !== ""cz"" || locale !== ""cs"" || !faqs) return faqs;",one_market_content,cz (cs),"ie,pt,es,ro,br",/{country}/{lang}/doctors/{slug} FAQ block + FAQPage JSON-LD,"Other markets render the DB FAQ rows verbatim, with no approved-copy layer",generic,https://www.myglobalhealth.online/czechia/cs/doctors/dr-ahmed-maklad 2026-09-15: approved Czech FAQ 'Jak si rezervovat konzultaci s MUDr. Makladem?' is live,"Add DoctorFaq.approvedAt/approvedBy (or route through the same ClinicalApproval table) so approved copy lives in the DB, not a frontend constant keyed by doctor slug",3,yes,TF-06,proposed,Also brittle: if any approved id is missing from the DB it returns [] and the entire FAQ block disappears.
CC-2778,backend/src/lib/stripe/client.ts,49-67,"switch (id) { case ""pt"": ... case ""cz"": ... case ""ie"": default: ... }",legitimate_market_rule,"ie,pt,cz","es,ro,br (fall through to the Ireland account)",none (payment routing),"Spain, Romania and Brazil settle on the Ireland Stripe account",correct,not public,STRIPE_SECRET_KEY_<CODE> / STRIPE_WEBHOOK_SECRET_<CODE> read by code with an Ireland fallback - no switch; a new market gets its own account by setting two env vars,2,yes,TF-07,proposed,Legitimate rule (one Stripe entity per jurisdiction) as an inline switch. A 7th market silently bills through Ireland.
CC-2781,backend/src/lib/stripe/client.ts,72-89,"switch (countryCode) { case ""pt"": return ""pt""; case ""cz"": return ""cz""; default: return ""ie""; }",legitimate_market_rule,"pt,cz","ie,es,ro,br",none,Everything else routes to the Ireland account,correct,not public,Same env-var convention plus a Country.stripeAccountKey column for the override,2,yes,TF-07,proposed,
CC-2791,backend/src/lib/stripe/client.ts,122,"const ids: StripeAccountId[] = [""ie"", ""pt"", ""cz""];",legitimate_market_rule,"ie,pt,cz","es,ro,br",none (webhook secret set),Their webhooks verify against the Ireland secret,correct,not public,"Derive from the configured env vars, not a literal array",1,yes,TF-07,proposed,A new market's webhook would fail signature verification with no error naming the cause.
CC-2793,backend/src/lib/stripe/client.ts,181,"if (countryCode?.trim().toLowerCase() !== ""pt"") return { customer_email: email, payment_method_types: [""card""] };",legitimate_market_rule,pt,"ie,cz,es,ro,br",Checkout payment options (MB Way / Multibanco),Card only,correct,not public,Country.checkoutPaymentMethods: string[] on the Country record (Brazil's Pix will need the same axis),2,yes,TF-07,proposed,Real local-rail rule. Pix would otherwise add a second literal here.
CC-2895,backend/src/modules/invoices/generate-invoice.service.ts,"349,434,589","if (order.countryCode.toLowerCase() === ""pt"") return;  (three separate call sites in one file)",legitimate_market_rule,pt (excluded),"ie,cz,es,ro,br",none (invoice issuance),Platform issues its own invoice; Portugal's is issued by InvoiceExpress,correct,not public,Country.invoiceIssuer enum ('platform'|'external') read once; three call sites become one guard,2,yes,TF-07,proposed,"A fourth market with a legal e-invoicing mandate (Brazil NFS-e, Romania e-Factura) adds three more literals."
CC-2915,backend/src/modules/invoices/pt-invoicexpress.service.ts,1-130,Portugal-only InvoiceExpress issuer modules: pt-invoicexpress.service.ts / pt-invoice-mirror.service.ts / pt-stripe-invoice-data.ts,legitimate_market_rule,pt,"ie,cz,es,ro,br",none,No external issuer,correct,not public,"Keep the modules (the integration really is PT-specific) but select them via the Country.invoiceIssuer field and a small issuer registry, instead of importing pt-* from the generic order path",3,yes,TF-07,proposed,The legitimate end of the spectrum: a country-named module is right when it wraps a country-specific third party.
CC-3184,frontend/app/[country]/[lang]/consult/[serviceSlug]/_components/consultation-booking-form.tsx,211-218,"const isBrazil = (params?.country ?? """").toLowerCase().startsWith(""brazil""); const isCzech = countryCode.trim().toLowerCase() === ""cz""; const collectIdentityDocument = isBrazil || isCzech;",legitimate_market_rule,"br,cz","ie,pt,es,ro",/{country}/{lang}/consult/{slug} booking form - identity-document field visibility,No identity document collected,correct,not public (behind the booking form),Country.requiresIdentityDocument: boolean plus Country.identityDocumentLabel on the Country record,2,yes,TF-08,proposed,Two different comparison styles in adjacent lines (slug startsWith vs code ===); the slug form breaks if a market's slug changes.
