prospect_domain,prospect_url,links_to_competitors,competitor_target,anchor,domain_rank,page_rank,spam_score,dofollow,first_seen,prospect_type,suggested_asset,priority,rationale,manual_verification,outreach_status
prazska.drbna.cz,https://prazska.drbna.cz/6657-praktik-odhali-varovne-signaly-jako-prvni.html,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-kliniky-praha/prakticke-lekarstvi-dospeli/,praktičtí lékaři v Praze,77,0,0,true,2021-12-01 01:26:52 +00:00,news/media,https://www.myglobalhealth.online/czechia/cs/blog/neschopenka-jak-funguje-eneschopenka,P1,Possible source-update or expert-comment opportunity; no paid placement assumed.,required,not contacted
www.bety.cz,https://www.bety.cz/zdravi-a-zivotni-styl/clanky/2510/Bolest-hlavy-Nerozvazne-polykani-pilulek-je-cesta-do-pekel,ulekare.cz,http://ulekare.cz/,ulekare.cz,77,0,15,true,2022-01-05 21:59:28 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
zeny.iprima.cz,https://zeny.iprima.cz/zdravi/zanet-dutin-hlava-jako-vcelin,euc.cz,https://euc.cz/clanky-a-novinky/clanky/zanet-dutin-priznaky-lecba-a-nakazlivost/,zánět dutin,75,0,5,true,2022-02-09 14:03:28 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
cnn.iprima.cz,https://cnn.iprima.cz/zeny-maji-na-trhu-sve-misto-sanci-jim-dava-druhy-rocnik-programu-women-in-tech-418576,ulekare.cz,https://ulekare.cz/,ulekare.cz,75,0,5,true,2023-11-29 09:12:26 +00:00,news/media,https://www.myglobalhealth.online/czechia/cs/blog/neschopenka-jak-funguje-eneschopenka,P1,Possible source-update or expert-comment opportunity; no paid placement assumed.,required,not contacted
trustburn.com,https://trustburn.com/reviews/ulekare-cz,ulekare.cz,http://ulekare.cz/,ulekare.cz,75,0,0,true,2025-08-14 20:55:57 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.vlasta.cz,https://www.vlasta.cz/zdravi/upal-vs-uzeh-priznaky-slunce-zdravi-teplota/,euc.cz,http://euc.cz/,euc.cz,73,0,0,true,2024-07-31 09:47:24 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.dumazahrada.cz,https://www.dumazahrada.cz/domacnost/frekvence-stolice-delka-zivota-nemoc-zdravi-problem/,euc.cz,https://euc.cz/clanky-a-novinky/clanky/nezapominejte-na-sva-jatra-vcasna-a-presna-diagnostika-pomuze-odhalit-zakerne-onemocneni/,Průjem i zácpa můžou být signálem,73,0,0,true,2025-05-17 20:39:04 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.kondice.cz,https://www.kondice.cz/zdravi-a-vyziva/probiotika-menopauza-zdravi-po-padesatce.html,euc.cz,https://euc.cz/clanky-a-novinky/clanky/jak-uzivat-probiotika-ucinky-a-vhodny-vyber/,https://euc.cz/clanky-a-novinky/clanky/jak-uzivat-probiotika-ucinky-a-vhodny-vyber/,73,0,0,true,2023-04-04 15:52:36 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.kupi.cz,https://www.kupi.cz/magazin/clanek/18274-cestovni-lekarnicka-dovolena,euc.cz,https://euc.cz/clanky-a-novinky/clanky/jak-vybavit-lekarnicku-na-cesty/,uvádí,73,0,0,false,2024-07-19 10:59:03 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.svetzeny.cz,https://www.svetzeny.cz/zdravi/chrapani-i-chronickou-rymu-lze-resit-laserovou-operaci,ulekare.cz,https://ulekare.cz/clanek/chrapani-vas-jednoduse-zbavi-laser-22066,odstranit hlasité chrápání,73,0,15,true,2022-06-19 00:35:25 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.iglanc.cz,https://www.iglanc.cz/zdravi/jak-si-udrzet-vahu-po-zhubnuti-jojo-efekt-hubnuti/,euc.cz,https://euc.cz/clanky-a-novinky/clanky/obezita-priciny-stupne-rizika-a-lecba/,zdravotní komplikace,72,0,0,true,2025-03-04 22:08:48 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.fastbase.com,https://www.fastbase.com/countryindex/Czech-Republic/M/Medical-laboratory,euc.cz,https://euc.cz/nase-zarizeni/laboratore-a-odberova-mista/odberova-mista-praha/,euc.cz,71,0,0,true,2026-06-25 04:19:42 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
mapy.atlasfirem.info,https://mapy.atlasfirem.info/katalog/instituce-a-organizace/zdravotnicka-zarizeni/lekarske-ordinace/psychiatrie/stat-1-ceska-republika-strana-1.html,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava/psychiatrie/,Web,70,0,0,true,2026-08-31 09:04:04 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.modrykonik.sk,https://www.modrykonik.sk/forum/moje-zdravie/antibiotika-a-probiotika-2/,euc.cz,https://euc.cz/clanky-a-novinky/clanky/jak-uzivat-probiotika-ucinky-a-vhodny-vyber/,https://euc.cz/clanky-a-novinky/clanky/jak-uziv...,70,0,0,false,2022-01-15 09:57:08 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
umo3.plzen.eu,https://umo3.plzen.eu/zivot-v-obvodu/zdravotnictvi/euc-klinika-plzen/,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-plzen/pracovne-lekarske-sluzby-pls/,Pracovně lékařské služby,69,0,0,true,2024-07-07 18:17:09 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.info-morava.cz,https://www.info-morava.cz/katalog/instituce-a-organizace/zdravotnicka-zarizeni/lekarske-ordinace/gynekologie/area-2-morava-strana-1.html,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava/gynekologie/,euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava …,68,12,0,true,2026-08-31 04:16:04 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.modrykonik.cz,https://www.modrykonik.cz/forum/hledame-lekare/kde-v-praze-najit-levne-a-rychle-sono-prsu/,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-kladno/radiodiagnostika/,https://euc.cz/nase-zarizeni/kliniky/euc-klinik...,68,0,0,false,2025-11-15 20:10:28 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.atlasfiriem.info,https://www.atlasfiriem.info/katalog/institucie-a-organizacie/zdravotnicke-zariadenia/lekarske-ordinacie/radiodiagnostika/svet-strana-2.html,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava/mamologie/,euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava …,67,0,0,true,2026-08-30 23:27:40 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.info-ostrava.cz,https://www.info-ostrava.cz/katalog/instituce-a-organizace/zdravotnicka-zarizeni/nemocnice/luzkova-oddeleni/kardiologie-a-kardiochirurgie/okres-34-ostrava-mesto-strana-1.html,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava/kardiologie-podlesi/,euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava …,67,9,0,true,2026-08-19 01:57:57 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.info-frydek-mistek.cz,https://www.info-frydek-mistek.cz/katalog/instituce-a-organizace/zdravotnicka-zarizeni/pracovnelekarske-sluzby/okres-30-frydek-mistek-strana-1.html,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava/agentura-domaci-pece/,Agentura domácí péče | Ostrava | EUC,67,16,0,true,2023-05-29 11:49:16 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.info-pardubice.eu,https://www.info-pardubice.eu/katalog/instituce-a-organizace/zdravotnicka-zarizeni/pracovnelekarske-sluzby/kraj-9-pardubicky-kraj-strana-1.html,euc.cz,https://euc.cz/nase-zarizeni/kliniky/klinika-euc-pls-pracovnelekarske-sluzby/,Klinika EUC PLS - pracovnělékařské služby | EUC,67,17,0,true,2023-06-22 14:29:10 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.info-hradec.cz,https://www.info-hradec.cz/katalog/instituce-a-organizace/zdravotnicka-zarizeni/lekarske-ordinace/andrologie/okres-19-hradec-kralove-strana-1.html,euc.cz,https://euc.cz/obory-lecby/domaci-zdravotni-pece/,Obory léčby: Domácí zdravotní péče | EUC,67,15,0,true,2023-06-21 00:31:24 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.info-budejovice.cz,https://www.info-budejovice.cz/katalog/instituce-a-organizace/zdravotnicka-zarizeni/pracovnelekarske-sluzby/okres-2-ceske-budejovice-strana-1.html,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-ceske-budejovice/alergologie-a-imunologie/,Alergologie a imunologie | České Budějovice | EUC,67,16,0,true,2024-02-08 09:15:39 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.infozlin.cz,https://www.infozlin.cz/katalog/instituce-a-organizace/zdravotnicka-zarizeni/pracovnelekarske-sluzby/okres-77-zlin-strana-1.html,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-zlin/prakticti-lekari/,Praktičtí lékaři | Zlín | EUC,67,17,0,true,2023-09-05 03:44:59 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
navolnenoze.cz,https://navolnenoze.cz/prezentace/jaroslava-novakova/,meddi.com,https://meddi.com/,Meddi,66,0,0,true,2023-02-13 00:35:23 +00:00,news/media,https://www.myglobalhealth.online/czechia/cs/blog/neschopenka-jak-funguje-eneschopenka,P1,Possible source-update or expert-comment opportunity; no paid placement assumed.,required,not contacted
www.info-olomouc.cz,https://www.info-olomouc.cz/katalog/instituce-a-organizace/zdravotnicka-zarizeni/nemocnice/luzkova-oddeleni/kardiologie-a-kardiochirurgie/okres-1-olomouc-strana-1.html,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava/kardiologie-podlesi/,euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava …,66,15,0,true,2026-08-19 00:46:54 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.info-havirov.cz,https://www.info-havirov.cz/katalog/instituce-a-organizace/zdravotnicka-zarizeni/lekarske-ordinace/interni-ordinace/onkologie/obec-368-havirov-strana-1.html,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava/preventivni-onkologie/,euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava …,66,15,0,true,2026-07-29 01:58:40 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.info-prerov.cz,https://www.info-prerov.cz/katalog/instituce-a-organizace/zdravotnicka-zarizeni/lekarske-ordinace/interni-ordinace/onkologie/okres-37-prerov-strana-1.html,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava/preventivni-onkologie/,euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava …,66,15,0,true,2026-07-29 01:54:58 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.info-karvina.cz,https://www.info-karvina.cz/katalog/instituce-a-organizace/zdravotnicka-zarizeni/nemocnice/luzkova-oddeleni/interni-oddeleni/okres-31-karvina-strana-1.html,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava/gastroenterologie/,euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava …,66,14,0,true,2026-07-28 21:28:38 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.info-liberec.cz,https://www.info-liberec.cz/katalog/instituce-a-organizace/zdravotnicka-zarizeni/pracovnelekarske-sluzby/okres-26-liberec-strana-1.html,euc.cz,https://euc.cz/kontakty/,Kontakty | EUC,66,16,0,true,2023-06-22 21:58:57 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.info-ceskalipa.cz,https://www.info-ceskalipa.cz/katalog/instituce-a-organizace/zdravotnicka-zarizeni/pracovnelekarske-sluzby/okres-24-ceska-lipa-strana-1.html,euc.cz,https://euc.cz/kontakty/,Kontakty | EUC,66,16,0,true,2025-10-01 07:24:59 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.info-komarno.sk,https://www.info-komarno.sk/katalog/instituce-a-organizace/Zdravotnicka-zarizeni/nemocnice/luzkova-oddeleni/orl-oddeleni/okres-104-komarno-strana-1.html,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava/orl/,euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava …,65,10,0,true,2026-08-31 08:32:13 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.info-michalovce.sk,https://www.info-michalovce.sk/katalog/instituce-a-organizace/Zdravotnicka-zarizeni/nemocnice/luzkova-oddeleni/orl-oddeleni/okres-150-michalovce-strana-1.html,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava/orl/,euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava …,65,10,0,true,2026-08-31 08:31:25 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.info-mikulas.sk,https://www.info-mikulas.sk/katalog/instituce-a-organizace/Zdravotnicka-zarizeni/nemocnice/luzkova-oddeleni/orl-oddeleni/okres-115-liptovsky-mikulas-strana-1.html,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava/orl/,euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava …,65,10,0,true,2026-08-31 07:35:30 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.info-slovensko.sk,https://www.info-slovensko.sk/katalog/institucie-a-organizacie/zdravotnicke-zariadenia/lekarske-ordinacie/radiodiagnostika/mamologia/stat-2-slovenska-republika-strana-1.html,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava/mamologie/,euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava …,65,3,0,true,2026-08-31 01:56:48 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.info-poprad.sk,https://www.info-poprad.sk/katalog/institucie-a-organizacie/zdravotnicke-zariadenia/lekarske-ordinacie/radiodiagnostika/okres-140-poprad-strana-1.html,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava/mamologie/,euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava …,65,0,0,true,2026-08-31 01:51:22 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.info-prievidza.sk,https://www.info-prievidza.sk/katalog/institucie-a-organizacie/zdravotnicke-zariadenia/lekarske-ordinacie/radiodiagnostika/okres-101-prievidza-strana-1.html,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava/mamologie/,euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava …,65,0,0,true,2026-07-24 19:37:20 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.info-zilina.sk,https://www.info-zilina.sk/katalog/institucie-a-organizacie/zdravotnicke-zariadenia/lekarske-ordinacie/radiodiagnostika/okres-121-zilina-strana-1.html,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava/mamologie/,euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava …,65,0,0,true,2026-08-31 01:15:05 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.info-presov.sk,https://www.info-presov.sk/katalog/institucie-a-organizacie/zdravotnicke-zariadenia/lekarske-ordinacie/radiodiagnostika/mamologia/okres-141-presov-strana-1.html,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava/mamologie/,euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava …,65,5,0,true,2026-08-31 01:08:18 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.info-levice.sk,https://www.info-levice.sk/katalog/institucie-a-organizacie/zdravotnicke-zariadenia/lekarske-ordinacie/radiodiagnostika/mamologia/okres-105-levice-strana-1.html,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava/mamologie/,euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava …,65,6,0,true,2026-08-31 01:03:07 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.info-humenne.sk,https://www.info-humenne.sk/katalog/institucie-a-organizacie/zdravotnicke-zariadenia/lekarske-ordinacie/radiodiagnostika/mamologia/okres-136-humenne-strana-1.html,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava/mamologie/,euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava …,65,6,0,true,2026-08-31 01:02:23 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.info-bystrica.sk,https://www.info-bystrica.sk/katalog/institucie-a-organizacie/zdravotnicke-zariadenia/lekarske-ordinacie/radiodiagnostika/mamologia/okres-122-banska-bystrica-strana-1.html,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava/mamologie/,euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava …,65,5,0,true,2026-08-31 00:14:28 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.info-novaves.sk,https://www.info-novaves.sk/katalog/institucie-a-organizacie/zdravotnicke-zariadenia/lekarske-ordinacie/radiodiagnostika/mamologia/okres-153-spisska-nova-ves-strana-1.html,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava/mamologie/,euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava …,65,14,0,true,2026-08-31 00:05:32 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.info-martin.sk,https://www.info-martin.sk/katalog/institucie-a-organizacie/zdravotnicke-zariadenia/lekarske-ordinacie/radiodiagnostika/okres-116-martin-strana-1.html,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava/mamologie/,euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava …,65,1,0,true,2026-08-30 23:10:46 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.info-trencin.sk,https://www.info-trencin.sk/katalog/institucie-a-organizacie/zdravotnicke-zariadenia/lekarske-ordinacie/radiodiagnostika/mamologia/okres-103-trencin-strana-1.html,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava/mamologie/,euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava …,65,14,0,true,2026-08-30 23:09:09 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.info-bardejov.sk,https://www.info-bardejov.sk/katalog/institucie-a-organizacie/zdravotnicke-zariadenia/nemocnice/lozkove-oddelenia/interne-oddelenia/okres-135-bardejov-strana-1.html,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava/gastroenterologie/,euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava …,65,13,0,true,2026-08-20 00:20:22 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
