url_id,norm,final_url,target_country,language,page_type,content_entity_id,source_file_or_model,title,meta_description,h1,word_count,faq_count,superlative_hits,em_per_1k,em_dash_count,exclamation_count,impressions_W1,clicks_W1,primary_query,scanner_flags,sel,evidence,json_ld_types,indexability
HOME-PT,https://www.myglobalhealth.online/portugal/pt,https://www.myglobalhealth.online/portugal/pt,Portugal,pt,market_home,,,Global Health Portugal | Cuidados médicos online,"Conheça os cuidados médicos online da Global Health em Portugal. Consulte os serviços disponíveis, os médicos e os passos para marcar uma consulta.",Cuidados médicos online em Portugal,2501.0,6.0,0.0,13.194722111155539,33.0,0.0,676.0,7.0,medico online portugal,none,top10_market,seo/tracking/raw/2026-09-15/A2-probe/text/HOME-PT.txt,MedicalOrganization|ImageObject|Country|Country|Country|Country|Country|Country|ContactPoint|PostalAddress|PropertyValue|PropertyValue|PropertyValue|WebSite|MedicalOrganization|MedicalOrganization|Country|PropertyValue|Organization|BreadcrumbList|ListItem|ListItem|FAQPage|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer,index
U002957,https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao,https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao,Portugal,pt,blog_post,,,Atestado médico carta condução: grupos 1 e 2 · Global Health,"Atestado médico da carta em Portugal: categorias dos Grupos 1 e 2, avaliação psicológica, envio eletrónico ao IMT e limites da consulta.","Atestado médico para carta de condução: Grupo 1, Grupo 2 e envio ao IMT",1293.0,4.0,0.0,6.960556844547564,9.0,0.0,255.0,0.0,atestado para carta de condução,none,top10_market,seo/tracking/raw/2026-09-15/A2-probe/text/U002957.txt,MedicalOrganization|ImageObject|Country|Country|Country|Country|Country|Country|ContactPoint|PostalAddress|PropertyValue|PropertyValue|PropertyValue|WebSite|Article|MedicalWebPage|ImageObject|Thing|Organization|MedicalOrganization|BreadcrumbList|ListItem|ListItem|ListItem|FAQPage|Question|Answer|Question|Answer|Question|Answer|Question|Answer,index
U002930,https://www.myglobalhealth.online/portugal/es/services/consulta-medica,https://www.myglobalhealth.online/portugal/es/services/consulta-medica,Portugal,es,service,service:pt:consulta-medica,,Consulta Médica Online en Portugal | Cita el Mismo Día,"Hable con un médico colegiado en la Ordem dos Médicos hoy, por videollamada segura. Consultas disponibles el mismo día para síntomas agudos y cuestiones clínicas. Reserve ya. También aceptamos Medicare para este servicio.",Consulta de Medicina General Online en Portugal,1419.0,5.0,0.0,7.751937984496124,11.0,0.0,233.0,0.0,medico online portugal,none,top10_market,seo/tracking/raw/2026-09-15/A2-probe/text/U002930.txt,MedicalOrganization|ImageObject|Country|Country|Country|Country|Country|Country|ContactPoint|PostalAddress|PropertyValue|PropertyValue|PropertyValue|WebSite|FAQPage|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|BreadcrumbList|ListItem|ListItem|ListItem|MedicalWebPage|Person|MedicalOrganization|PropertyValue|EducationalOccupationalCredential|Organization|Organization|MedicalProcedure|ReserveAction|Service|Country|MedicalOrganization|Offer|QuantitativeValue,index
U003052,https://www.myglobalhealth.online/portugal/pt/tools/blood-pressure-chart,https://www.myglobalhealth.online/portugal/pt/tools/blood-pressure-chart,Portugal,pt,tool,,,Tabela de Tensão Arterial: Valores | Portugal,Compare a tensão sistólica e diastólica com a tabela europeia para adultos. Veja a categoria e as leituras que exigem cuidados médicos no próprio dia.,Tabela de tensão arterial Portugal,2001.0,8.0,2.0,5.497251374312843,11.0,0.0,201.0,2.0,tabela de medição de tensão arterial,none,top10_market,seo/tracking/raw/2026-09-15/A2-probe/text/U003052.txt,MedicalOrganization|ImageObject|Country|Country|Country|Country|Country|Country|ContactPoint|PostalAddress|PropertyValue|PropertyValue|PropertyValue|WebSite|MedicalWebPage|FAQPage|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|BreadcrumbList|ListItem|ListItem,index
U002832,https://www.myglobalhealth.online/portugal/en/services/consulta-cardiologia,https://www.myglobalhealth.online/portugal/en/services/consulta-cardiologia,Portugal,en,service,service:pt:consulta-cardiologia,,Online Cardiology Consultation Portugal | Cardiologist,"Consultation with a cardiologist registered with the Portuguese Medical Association. Cardiovascular risk assessment, management of heart conditions, and second opinions, by secure video call.",Cardiology Consultation,2465.0,8.0,0.0,30.02028397565923,74.0,0.0,136.0,0.0,online doctor consultation cardiologist,em_dash_30.0/1k,top10_market,seo/tracking/raw/2026-09-15/A2-probe/text/U002832.txt,MedicalOrganization|ImageObject|Country|Country|Country|Country|Country|Country|ContactPoint|PostalAddress|PropertyValue|PropertyValue|PropertyValue|WebSite|FAQPage|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|BreadcrumbList|ListItem|ListItem|ListItem|MedicalWebPage|Person|MedicalOrganization|PropertyValue|EducationalOccupationalCredential|Organization|Organization|MedicalProcedure|ReserveAction|Service|Country|MedicalOrganization|Offer|QuantitativeValue,index
U003000,https://www.myglobalhealth.online/portugal/pt/doctors/dr-telmo-coelho,https://www.myglobalhealth.online/portugal/pt/doctors/dr-telmo-coelho,Portugal,pt,doctor,doctor:pt:dr-telmo-coelho,,Dr. Telmo Coelho — Psiquiatra | OM 48028 · Global Health,"Dr. Telmo Coelho, psiquiatra OM 48028: CH São João; Hospital das Forças Armadas; Psiquiatria Forense e Psicotraumatologia. Português e inglês.",Dr Telmo Coelho,2021.0,6.0,0.0,10.390895596239485,21.0,0.0,95.0,3.0,dr telmo coelho psiquiatra,none,top10_market,seo/tracking/raw/2026-09-15/A2-probe/text/U003000.txt,MedicalOrganization|ImageObject|Country|Country|Country|Country|Country|Country|ContactPoint|PostalAddress|PropertyValue|PropertyValue|PropertyValue|WebSite|Person|ImageObject|MedicalOrganization|PropertyValue|EducationalOccupationalCredential|Organization|Organization|BreadcrumbList|ListItem|ListItem|ListItem|ListItem|FAQPage|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer,index
U002959,https://www.myglobalhealth.online/portugal/pt/blog/baixa-medica-quanto-se-recebe-como-calcular,https://www.myglobalhealth.online/portugal/pt/blog/baixa-medica-quanto-se-recebe-como-calcular,Portugal,pt,blog_post,,,Baixa médica: quanto se recebe em 2026 · Global Health,"Veja as taxas de 55% a 75%, a fórmula da remuneração de referência, os dias de espera e um exemplo de subsídio de doença em 2026.",Baixa médica: quanto se recebe e como é calculada,1230.0,4.0,0.0,2.4390243902439024,3.0,0.0,78.0,0.0,baixa por cirurgia de ambulatório quanto se recebe 2026,none,top10_market,seo/tracking/raw/2026-09-15/A2-probe/text/U002959.txt,MedicalOrganization|ImageObject|Country|Country|Country|Country|Country|Country|ContactPoint|PostalAddress|PropertyValue|PropertyValue|PropertyValue|WebSite|Article|MedicalWebPage|ImageObject|Thing|Organization|MedicalOrganization|BreadcrumbList|ListItem|ListItem|ListItem|FAQPage|Question|Answer|Question|Answer|Question|Answer|Question|Answer,index
U002781,https://www.myglobalhealth.online/portugal/en/blog/travel-health-consultation-portugal,https://www.myglobalhealth.online/portugal/en/blog/travel-health-consultation-portugal,Portugal,en,blog_post,,,Travel health consultation in Portugal · Global Health,"Travel health consultation in Portugal: what is assessed, where it is done, what to bring and the role of the International Vaccination Centres.","Travel health consultation in Portugal: where to go, when to book and what to bring",2813.0,6.0,1.0,15.641663704230359,44.0,0.0,51.0,0.0,consulta do viajante online,em_dash_15.6/1k,top10_market,seo/tracking/raw/2026-09-15/A2-probe/text/U002781.txt,MedicalOrganization|ImageObject|Country|Country|Country|Country|Country|Country|ContactPoint|PostalAddress|PropertyValue|PropertyValue|PropertyValue|WebSite|Article|MedicalWebPage|Person|MedicalOrganization|PropertyValue|EducationalOccupationalCredential|Organization|Organization|ImageObject|Thing|Organization|MedicalOrganization|BreadcrumbList|ListItem|ListItem|ListItem|FAQPage|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer,index
U002862,https://www.myglobalhealth.online/portugal/es,https://www.myglobalhealth.online/portugal/es,Portugal,es,market_home,,,Médico Online Portugal | Médicos y Especialistas Colegiados,"Consulte hoy con un médico colegiado por videollamada — consultas de medicina general, certificados médicos, derivaciones a especialistas. Citas el mismo día en Portugal.",Atención médica online en Portugal,2496.0,6.0,0.0,13.221153846153847,33.0,0.0,38.0,0.0,cita medico,none,top10_market,seo/tracking/raw/2026-09-15/A2-probe/text/U002862.txt,MedicalOrganization|ImageObject|Country|Country|Country|Country|Country|Country|ContactPoint|PostalAddress|PropertyValue|PropertyValue|PropertyValue|WebSite|MedicalOrganization|MedicalOrganization|Country|PropertyValue|Organization|BreadcrumbList|ListItem|ListItem|FAQPage|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer,index
U002830,https://www.myglobalhealth.online/portugal/en/services/certificado-medico-carta-de-conducao,https://www.myglobalhealth.online/portugal/en/services/certificado-medico-carta-de-conducao,Portugal,en,service,service:pt:certificado-medico-carta-de-conducao,,Driving Licence Medical Certificate Online Portugal,"Online medical assessment for a driving fitness certificate, Group 1 and Group 2. Doctor registered with the Portuguese Medical Association, document accepted by the IMT. Book now. We also accept Medicare for this service.",Driving Licence Medical Certificate,2064.0,8.0,3.0,12.112403100775195,25.0,0.0,24.0,1.0,medical certificate portugal,superlative_hits=3|em_dash_12.1/1k,top10_market,seo/tracking/raw/2026-09-15/A2-probe/text/U002830.txt,MedicalOrganization|ImageObject|Country|Country|Country|Country|Country|Country|ContactPoint|PostalAddress|PropertyValue|PropertyValue|PropertyValue|WebSite|FAQPage|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|BreadcrumbList|ListItem|ListItem|ListItem|MedicalWebPage|Person|MedicalOrganization|PropertyValue|EducationalOccupationalCredential|Organization|Organization|MedicalProcedure|ReserveAction|Service|Country|MedicalOrganization|Offer|QuantitativeValue,index
HOME-ES,https://www.myglobalhealth.online/spain/es,https://www.myglobalhealth.online/spain/es,Spain,es,market_home,,,Médico Online España | Médicos y Especialistas Colegiados,"Consulte hoy con un médico colegiado por videollamada — medicina general, certificados médicos, derivaciones a especialistas. Mismo día en España.",Atención médica online en España,2426.0,6.0,0.0,15.663643858202802,38.0,0.0,2012.0,2.0,medicos online,none,top10_market,seo/tracking/raw/2026-09-15/A2-probe/text/HOME-ES.txt,MedicalOrganization|ImageObject|Country|Country|Country|Country|Country|Country|ContactPoint|PostalAddress|PropertyValue|PropertyValue|PropertyValue|WebSite|MedicalOrganization|MedicalOrganization|Country|Organization|BreadcrumbList|ListItem|ListItem|FAQPage|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer,index
U004460,https://www.myglobalhealth.online/spain/es/tools/blood-pressure-chart,https://www.myglobalhealth.online/spain/es/tools/blood-pressure-chart,Spain,es,tool,,,Baremos de Tensión Arterial España | Tabla de Valores Normales,"Introduce tu tensión sistólica y diastólica y consulta el baremo europeo para adultos: en qué categoría estás, qué significa y qué lecturas necesitan atención médica el mismo día.",Tensión arterial normal España,2046.0,8.0,2.0,0.4887585532746823,1.0,0.0,955.0,2.0,tabla tension arterial,none,top10_market,seo/tracking/raw/2026-09-15/A2-probe/text/U004460.txt,MedicalOrganization|ImageObject|Country|Country|Country|Country|Country|Country|ContactPoint|PostalAddress|PropertyValue|PropertyValue|PropertyValue|WebSite|MedicalWebPage|FAQPage|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|BreadcrumbList|ListItem|ListItem,index
U004465,https://www.myglobalhealth.online/spain/es/tools/ovulation-calculator,https://www.myglobalhealth.online/spain/es/tools/ovulation-calculator,Spain,es,tool,,,Calculadora de Ovulación España | Días Fértiles y Ovulación,"Calcula tus días fértiles y el día estimado de ovulación a partir del primer día de tu última regla. Se ajusta a la duración de tu ciclo, con los seis días más fértiles al detalle.",Calculadora de ovulación España,2081.0,8.0,0.0,0.4805382027871216,1.0,0.0,290.0,0.0,calculadora los dias fertiles,none,top10_market,seo/tracking/raw/2026-09-15/A2-probe/text/U004465.txt,MedicalOrganization|ImageObject|Country|Country|Country|Country|Country|Country|ContactPoint|PostalAddress|PropertyValue|PropertyValue|PropertyValue|WebSite|MedicalWebPage|FAQPage|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|BreadcrumbList|ListItem|ListItem,index
U004388,https://www.myglobalhealth.online/spain/es/blog/dermatologo-online-que-puede-resolver,https://www.myglobalhealth.online/spain/es/blog/dermatologo-online-que-puede-resolver,Spain,es,blog_post,,,Dermatólogo online: qué resuelve y qué no · Global Health,"Dermatólogo online en España: qué problemas de piel se resuelven por vídeo o fotografía, cuáles exigen consulta presencial y cómo hacer buenas fotos.",Dermatólogo online: qué puede resolver y qué necesita ser presencial,2667.0,6.0,5.0,8.248968878890139,22.0,0.0,288.0,0.0,dermatologo atencion online,superlative_hits=5,top10_market,seo/tracking/raw/2026-09-15/A2-probe/text/U004388.txt,MedicalOrganization|ImageObject|Country|Country|Country|Country|Country|Country|ContactPoint|PostalAddress|PropertyValue|PropertyValue|PropertyValue|WebSite|Article|MedicalWebPage|Person|MedicalOrganization|PropertyValue|EducationalOccupationalCredential|Organization|Organization|ImageObject|Thing|Organization|MedicalOrganization|BreadcrumbList|ListItem|ListItem|ListItem|FAQPage|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer,index
U004361,https://www.myglobalhealth.online/spain/en/services/dermatologia-especialista-online,https://www.myglobalhealth.online/spain/en/services/dermatologia-especialista-online,Spain,en,service,service:es:dermatologia-especialista-online,,Specialist Dermatology Online Spain | Dermatologist,"Complex skin condition, severe acne, or suspicious lesion? Our OMC-registered dermatologists offer specialist assessments by video call with high-resolution image analysis. Same-day appointments anywhere in Spain.","Specialist Dermatology — Online Assessment with Dermatologist, Same Day",2407.0,9.0,0.0,30.7436643124221,74.0,0.0,199.0,0.0,atencion dermatologica online,em_dash_30.7/1k,top10_market,seo/tracking/raw/2026-09-15/A2-probe/text/U004361.txt,MedicalOrganization|ImageObject|Country|Country|Country|Country|Country|Country|ContactPoint|PostalAddress|PropertyValue|PropertyValue|PropertyValue|WebSite|FAQPage|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|BreadcrumbList|ListItem|ListItem|ListItem|MedicalWebPage|Person|MedicalOrganization|PropertyValue|EducationalOccupationalCredential|Organization|Organization|MedicalProcedure|ReserveAction|Service|Country|MedicalOrganization|Offer|QuantitativeValue,index
U004535,https://www.myglobalhealth.online/spain/pt/services/psiquiatra-online,https://www.myglobalhealth.online/spain/pt/services/psiquiatra-online,Spain,pt,service,service:es:psiquiatra-online,,Psiquiatra Online Espanha | Consulta Psiquiátrica Especialista,"TDAH, transtorno bipolar ou outra preocupação psiquiátrica? Psiquiatras inscritos avaliam o seu caso por videochamada segura, em qualquer ponto de Espanha.",Psiquiatria Especialista — Avaliação Psiquiátrica Online,2982.0,10.0,0.0,25.150905432595575,75.0,0.0,173.0,0.0,psiquiatra online,none,top10_market,seo/tracking/raw/2026-09-15/A2-probe/text/U004535.txt,MedicalOrganization|ImageObject|Country|Country|Country|Country|Country|Country|ContactPoint|PostalAddress|PropertyValue|PropertyValue|PropertyValue|WebSite|FAQPage|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|BreadcrumbList|ListItem|ListItem|ListItem|MedicalWebPage|Person|MedicalOrganization|PropertyValue|EducationalOccupationalCredential|Organization|Organization|MedicalProcedure|ReserveAction|Service|Country|MedicalOrganization|Offer|QuantitativeValue,index
U004367,https://www.myglobalhealth.online/spain/en/services/psicologo-online,https://www.myglobalhealth.online/spain/en/services/psicologo-online,Spain,en,service,service:es:psicologo-online,,Psychologist Online Spain | Therapy | Registered Clinical Psychologist,"Anxiety, depression, trauma, or psychological concern in Spain? Our registered clinical psychologists offer psychotherapy and psychological assessment by secure video call. Same-day appointments in English.",Clinical Psychology — Online Therapy with Registered Psychologist in Spain,2464.0,10.0,0.0,29.22077922077922,72.0,0.0,167.0,0.0,online psychologist,em_dash_29.2/1k,top10_market,seo/tracking/raw/2026-09-15/A2-probe/text/U004367.txt,MedicalOrganization|ImageObject|Country|Country|Country|Country|Country|Country|ContactPoint|PostalAddress|PropertyValue|PropertyValue|PropertyValue|WebSite|FAQPage|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|BreadcrumbList|ListItem|ListItem|ListItem|MedicalWebPage|Person|MedicalOrganization|PropertyValue|EducationalOccupationalCredential|Organization|Organization|MedicalProcedure|ReserveAction|Service|Country|MedicalOrganization|Offer|QuantitativeValue,index
U004386,https://www.myglobalhealth.online/spain/es/blog/baja-laboral-por-ansiedad-como-funciona,https://www.myglobalhealth.online/spain/es/blog/baja-laboral-por-ansiedad-como-funciona,Spain,es,blog_post,,,Baja laboral por ansiedad: quién la emite en España,"Baja laboral por ansiedad en España: quién emite el parte de baja, qué evalúa el médico, qué información recibe la empresa y qué es la inspección médica.",Baja laboral por ansiedad: quién la emite y qué se evalúa,3007.0,6.0,4.0,7.316262055204523,22.0,0.0,158.0,0.0,mi médico no me da la baja por ansiedad,superlative_hits=4,top10_market,seo/tracking/raw/2026-09-15/A2-probe/text/U004386.txt,MedicalOrganization|ImageObject|Country|Country|Country|Country|Country|Country|ContactPoint|PostalAddress|PropertyValue|PropertyValue|PropertyValue|WebSite|Article|MedicalWebPage|Person|MedicalOrganization|PropertyValue|EducationalOccupationalCredential|Organization|Organization|ImageObject|Thing|Organization|MedicalOrganization|BreadcrumbList|ListItem|ListItem|ListItem|FAQPage|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer,index
