keyword,search_volume,keyword_difficulty,cpc,competition,intent,rank,url,title,serp_features,monthly_searches_json
od kdy se počítá těhotenství,210,0,0.15000000596046448,0.25,informational,52,https://www.myglobalhealth.online/czechia/cs/tools/due-date-calculator,Těhotenská Kalkulačka Česko | Termín Porodu a Týdny,"[""ai_overview"",""organic"",""people_also_ask"",""related_searches""]","[{""year"":2026,""month"":6,""search_volume"":170},{""year"":2026,""month"":5,""search_volume"":210},{""year"":2026,""month"":4,""search_volume"":170},{""year"":2026,""month"":3,""search_volume"":210},{""year"":2026,""month"":2,""search_volume"":170},{""year"":2026,""month"":1,""search_volume"":260},{""year"":2025,""month"":12,""search_volume"":210},{""year"":2025,""month"":11,""search_volume"":260},{""year"":2025,""month"":10,""search_volume"":210},{""year"":2025,""month"":9,""search_volume"":260},{""year"":2025,""month"":8,""search_volume"":260},{""year"":2025,""month"":7,""search_volume"":260}]"
tehotenský kalendář,210,0,0.10999999940395355,0.17000000178813934,transactional,61,https://www.myglobalhealth.online/czechia/cs/tools/due-date-calculator,Těhotenská Kalkulačka Česko | Termín Porodu a Týdny,"[""organic"",""related_searches""]","[{""year"":2026,""month"":7,""search_volume"":140},{""year"":2026,""month"":6,""search_volume"":170},{""year"":2026,""month"":5,""search_volume"":170},{""year"":2026,""month"":4,""search_volume"":210},{""year"":2026,""month"":3,""search_volume"":210},{""year"":2026,""month"":2,""search_volume"":210},{""year"":2026,""month"":1,""search_volume"":210},{""year"":2025,""month"":12,""search_volume"":210},{""year"":2025,""month"":11,""search_volume"":210},{""year"":2025,""month"":10,""search_volume"":260},{""year"":2025,""month"":9,""search_volume"":210},{""year"":2025,""month"":8,""search_volume"":210}]"
těhotenský kalendář,210,0,0.10999999940395355,0.17000000178813934,informational,60,https://www.myglobalhealth.online/czechia/cs/tools/due-date-calculator,Těhotenská Kalkulačka Česko | Termín Porodu a Týdny,"[""organic"",""images"",""related_searches""]","[{""year"":2026,""month"":7,""search_volume"":140},{""year"":2026,""month"":6,""search_volume"":170},{""year"":2026,""month"":5,""search_volume"":170},{""year"":2026,""month"":4,""search_volume"":210},{""year"":2026,""month"":3,""search_volume"":210},{""year"":2026,""month"":2,""search_volume"":210},{""year"":2026,""month"":1,""search_volume"":210},{""year"":2025,""month"":12,""search_volume"":210},{""year"":2025,""month"":11,""search_volume"":210},{""year"":2025,""month"":10,""search_volume"":260},{""year"":2025,""month"":9,""search_volume"":210},{""year"":2025,""month"":8,""search_volume"":210}]"
vysoký tlak hodnoty,210,17,0.029999999329447746,0.23000000417232513,informational,52,https://www.myglobalhealth.online/czechia/cs/tools/blood-pressure-chart,Normální Krevní Tlak Česko | Tabulka Hodnot pro Dospělé,"[""ai_overview"",""images"",""people_also_ask"",""organic"",""related_searches""]","[{""year"":2026,""month"":6,""search_volume"":170},{""year"":2026,""month"":5,""search_volume"":170},{""year"":2026,""month"":4,""search_volume"":210},{""year"":2026,""month"":3,""search_volume"":260},{""year"":2026,""month"":2,""search_volume"":260},{""year"":2026,""month"":1,""search_volume"":260},{""year"":2025,""month"":12,""search_volume"":210},{""year"":2025,""month"":11,""search_volume"":210},{""year"":2025,""month"":10,""search_volume"":210},{""year"":2025,""month"":9,""search_volume"":170},{""year"":2025,""month"":8,""search_volume"":140},{""year"":2025,""month"":7,""search_volume"":170}]"
kalorická kalkulačka zdarma,170,20,0.5699999928474426,0.3400000035762787,informational,22,https://www.myglobalhealth.online/czechia/cs/tools/calorie-calculator,Kalorická Kalkulačka Česko | Výpočet Denního Příjmu,"[""organic"",""people_also_ask"",""related_searches""]","[{""year"":2026,""month"":7,""search_volume"":140},{""year"":2026,""month"":6,""search_volume"":170},{""year"":2026,""month"":5,""search_volume"":210},{""year"":2026,""month"":4,""search_volume"":390},{""year"":2026,""month"":3,""search_volume"":320},{""year"":2026,""month"":2,""search_volume"":260},{""year"":2026,""month"":1,""search_volume"":320},{""year"":2025,""month"":12,""search_volume"":90},{""year"":2025,""month"":11,""search_volume"":110},{""year"":2025,""month"":10,""search_volume"":90},{""year"":2025,""month"":9,""search_volume"":50},{""year"":2025,""month"":8,""search_volume"":70}]"
healthcare czech republic,170,0,8.789999961853027,0.23000000417232513,informational,54,https://www.myglobalhealth.online/czechia/cs,Online lékařská péče v Česku - Global Health,"[""ai_overview"",""organic"",""people_also_ask"",""related_searches"",""knowledge_graph""]","[{""year"":2026,""month"":7,""search_volume"":140},{""year"":2026,""month"":6,""search_volume"":170},{""year"":2026,""month"":5,""search_volume"":170},{""year"":2026,""month"":4,""search_volume"":170},{""year"":2026,""month"":3,""search_volume"":140},{""year"":2026,""month"":2,""search_volume"":170},{""year"":2026,""month"":1,""search_volume"":140},{""year"":2025,""month"":12,""search_volume"":170},{""year"":2025,""month"":11,""search_volume"":170},{""year"":2025,""month"":10,""search_volume"":170},{""year"":2025,""month"":9,""search_volume"":140},{""year"":2025,""month"":8,""search_volume"":110}]"
kalkulačka menstruace,170,0,0.20000000298023224,0.05999999865889549,informational,43,https://www.myglobalhealth.online/czechia/cs/tools/ovulation-calculator,Ovulační Kalkulačka Česko | Plodné Dny a Den Ovulace,"[""organic"",""images"",""people_also_ask"",""related_searches""]","[{""year"":2026,""month"":6,""search_volume"":170},{""year"":2026,""month"":5,""search_volume"":140},{""year"":2026,""month"":4,""search_volume"":140},{""year"":2026,""month"":3,""search_volume"":210},{""year"":2026,""month"":2,""search_volume"":170},{""year"":2026,""month"":1,""search_volume"":210},{""year"":2025,""month"":12,""search_volume"":170},{""year"":2025,""month"":11,""search_volume"":210},{""year"":2025,""month"":10,""search_volume"":170},{""year"":2025,""month"":9,""search_volume"":170},{""year"":2025,""month"":8,""search_volume"":170},{""year"":2025,""month"":7,""search_volume"":210}]"
kalkulačka plodné dny,170,0,0.07000000029802322,0.11999999731779099,informational,37,https://www.myglobalhealth.online/czechia/cs/tools/ovulation-calculator,Ovulační Kalkulačka Česko | Plodné Dny a Den Ovulace,"[""organic"",""people_also_ask"",""images"",""related_searches""]","[{""year"":2026,""month"":6,""search_volume"":170},{""year"":2026,""month"":5,""search_volume"":170},{""year"":2026,""month"":4,""search_volume"":170},{""year"":2026,""month"":3,""search_volume"":170},{""year"":2026,""month"":2,""search_volume"":170},{""year"":2026,""month"":1,""search_volume"":210},{""year"":2025,""month"":12,""search_volume"":210},{""year"":2025,""month"":11,""search_volume"":170},{""year"":2025,""month"":10,""search_volume"":210},{""year"":2025,""month"":9,""search_volume"":170},{""year"":2025,""month"":8,""search_volume"":210},{""year"":2025,""month"":7,""search_volume"":170}]"
kalkulačka termín porodu,170,0,0.11999999731779099,0.23999999463558197,informational,41,https://www.myglobalhealth.online/czechia/cs/tools/due-date-calculator,Těhotenská Kalkulačka Česko | Termín Porodu a Týdny,"[""organic"",""people_also_ask"",""related_searches""]","[{""year"":2026,""month"":7,""search_volume"":170},{""year"":2026,""month"":6,""search_volume"":210},{""year"":2026,""month"":5,""search_volume"":210},{""year"":2026,""month"":4,""search_volume"":170},{""year"":2026,""month"":3,""search_volume"":170},{""year"":2026,""month"":2,""search_volume"":210},{""year"":2026,""month"":1,""search_volume"":210},{""year"":2025,""month"":12,""search_volume"":170},{""year"":2025,""month"":11,""search_volume"":170},{""year"":2025,""month"":10,""search_volume"":170},{""year"":2025,""month"":9,""search_volume"":210},{""year"":2025,""month"":8,""search_volume"":170}]"
kalkulačka uhnízdění vajíčka,170,0,0.25999999046325684,0.20000000298023224,informational,30,https://www.myglobalhealth.online/czechia/cs/tools/ovulation-calculator,Ovulační Kalkulačka Česko | Plodné Dny a Den Ovulace,"[""ai_overview"",""organic"",""people_also_ask"",""related_searches""]","[{""year"":2026,""month"":6,""search_volume"":90},{""year"":2026,""month"":5,""search_volume"":70},{""year"":2026,""month"":4,""search_volume"":90},{""year"":2026,""month"":3,""search_volume"":140},{""year"":2026,""month"":2,""search_volume"":140},{""year"":2026,""month"":1,""search_volume"":170},{""year"":2025,""month"":12,""search_volume"":140},{""year"":2025,""month"":11,""search_volume"":210},{""year"":2025,""month"":10,""search_volume"":210},{""year"":2025,""month"":9,""search_volume"":260},{""year"":2025,""month"":8,""search_volume"":170},{""year"":2025,""month"":7,""search_volume"":320}]"
kalorické tabulky výpočet,170,30,0.4000000059604645,0.17000000178813934,informational,59,https://www.myglobalhealth.online/czechia/cs/tools/calorie-calculator,Kalorická Kalkulačka Česko | Výpočet Denního Příjmu,"[""organic"",""people_also_ask"",""related_searches"",""images""]","[{""year"":2026,""month"":6,""search_volume"":110},{""year"":2026,""month"":5,""search_volume"":170},{""year"":2026,""month"":4,""search_volume"":210},{""year"":2026,""month"":3,""search_volume"":210},{""year"":2026,""month"":2,""search_volume"":210},{""year"":2026,""month"":1,""search_volume"":260},{""year"":2025,""month"":12,""search_volume"":110},{""year"":2025,""month"":11,""search_volume"":170},{""year"":2025,""month"":10,""search_volume"":260},{""year"":2025,""month"":9,""search_volume"":170},{""year"":2025,""month"":8,""search_volume"":170},{""year"":2025,""month"":7,""search_volume"":210}]"
kdy dostanu menstruaci kalkulačka,170,0,0.3400000035762787,0.1599999964237213,informational,27,https://www.myglobalhealth.online/czechia/cs/tools/ovulation-calculator,Ovulační Kalkulačka Česko | Plodné Dny a Den Ovulace,"[""organic"",""people_also_ask"",""related_searches"",""images""]","[{""year"":2026,""month"":6,""search_volume"":170},{""year"":2026,""month"":5,""search_volume"":110},{""year"":2026,""month"":4,""search_volume"":110},{""year"":2026,""month"":3,""search_volume"":70},{""year"":2026,""month"":2,""search_volume"":210},{""year"":2026,""month"":1,""search_volume"":260},{""year"":2025,""month"":12,""search_volume"":170},{""year"":2025,""month"":11,""search_volume"":210},{""year"":2025,""month"":10,""search_volume"":170},{""year"":2025,""month"":9,""search_volume"":140},{""year"":2025,""month"":8,""search_volume"":140},{""year"":2025,""month"":7,""search_volume"":140}]"
lékař online 24/7,170,6,0.6899999976158142,0.25999999046325684,informational,51,https://www.myglobalhealth.online/czechia/cs/blog/lekar-online-24-7-co-vyresi,Lékař online 24/7: co konzultace na dálku vyřeší a co ne,"[""ai_overview"",""organic"",""people_also_ask"",""related_searches""]","[{""year"":2026,""month"":7,""search_volume"":140},{""year"":2026,""month"":6,""search_volume"":110},{""year"":2026,""month"":5,""search_volume"":110},{""year"":2026,""month"":4,""search_volume"":140},{""year"":2026,""month"":3,""search_volume"":140},{""year"":2026,""month"":2,""search_volume"":140},{""year"":2026,""month"":1,""search_volume"":170},{""year"":2025,""month"":12,""search_volume"":210},{""year"":2025,""month"":11,""search_volume"":140},{""year"":2025,""month"":10,""search_volume"":260},{""year"":2025,""month"":9,""search_volume"":260},{""year"":2025,""month"":8,""search_volume"":260}]"
normalni tlak u zeny,170,17,0.019999999552965164,0.14000000059604645,informational,36,https://www.myglobalhealth.online/czechia/cs/tools/blood-pressure-chart,Normální Krevní Tlak Česko | Tabulka Hodnot pro Dospělé,"[""ai_overview"",""images"",""people_also_ask"",""organic"",""related_searches""]","[{""year"":2026,""month"":6,""search_volume"":110},{""year"":2026,""month"":5,""search_volume"":110},{""year"":2026,""month"":4,""search_volume"":50},{""year"":2026,""month"":3,""search_volume"":110},{""year"":2026,""month"":2,""search_volume"":140},{""year"":2026,""month"":1,""search_volume"":170},{""year"":2025,""month"":12,""search_volume"":110},{""year"":2025,""month"":11,""search_volume"":140},{""year"":2025,""month"":10,""search_volume"":260},{""year"":2025,""month"":9,""search_volume"":210},{""year"":2025,""month"":8,""search_volume"":210},{""year"":2025,""month"":7,""search_volume"":210}]"
tabulka měření tlaku,170,0,0.019999999552965164,0.05000000074505806,transactional,30,https://www.myglobalhealth.online/czechia/cs/tools/blood-pressure-chart,Normální Krevní Tlak Česko | Tabulka Hodnot pro Dospělé,"[""images"",""organic"",""people_also_ask"",""ai_overview"",""related_searches""]","[{""year"":2026,""month"":6,""search_volume"":140},{""year"":2026,""month"":5,""search_volume"":140},{""year"":2026,""month"":4,""search_volume"":210},{""year"":2026,""month"":3,""search_volume"":210},{""year"":2026,""month"":2,""search_volume"":210},{""year"":2026,""month"":1,""search_volume"":210},{""year"":2025,""month"":12,""search_volume"":140},{""year"":2025,""month"":11,""search_volume"":170},{""year"":2025,""month"":10,""search_volume"":210},{""year"":2025,""month"":9,""search_volume"":170},{""year"":2025,""month"":8,""search_volume"":170},{""year"":2025,""month"":7,""search_volume"":140}]"
termín porodu kalkulačka,170,0,0.10999999940395355,0.30000001192092896,informational,40,https://www.myglobalhealth.online/czechia/cs/tools/due-date-calculator,Těhotenská Kalkulačka Česko | Termín Porodu a Týdny,"[""organic"",""people_also_ask"",""related_searches""]","[{""year"":2026,""month"":7,""search_volume"":170},{""year"":2026,""month"":6,""search_volume"":110},{""year"":2026,""month"":5,""search_volume"":110},{""year"":2026,""month"":4,""search_volume"":210},{""year"":2026,""month"":3,""search_volume"":210},{""year"":2026,""month"":2,""search_volume"":170},{""year"":2026,""month"":1,""search_volume"":170},{""year"":2025,""month"":12,""search_volume"":210},{""year"":2025,""month"":11,""search_volume"":210},{""year"":2025,""month"":10,""search_volume"":110},{""year"":2025,""month"":9,""search_volume"":110},{""year"":2025,""month"":8,""search_volume"":140}]"
výpočet data porodu,170,0,0.12999999523162842,0.44999998807907104,informational,55,https://www.myglobalhealth.online/czechia/cs/tools/due-date-calculator,Těhotenská Kalkulačka Česko | Termín Porodu a Týdny,"[""organic"",""people_also_ask"",""related_searches""]","[{""year"":2026,""month"":7,""search_volume"":110},{""year"":2026,""month"":6,""search_volume"":140},{""year"":2026,""month"":5,""search_volume"":170},{""year"":2026,""month"":4,""search_volume"":170},{""year"":2026,""month"":3,""search_volume"":210},{""year"":2026,""month"":2,""search_volume"":170},{""year"":2026,""month"":1,""search_volume"":260},{""year"":2025,""month"":12,""search_volume"":170},{""year"":2025,""month"":11,""search_volume"":170},{""year"":2025,""month"":10,""search_volume"":170},{""year"":2025,""month"":9,""search_volume"":210},{""year"":2025,""month"":8,""search_volume"":210}]"

