"url","page_role","locale","primary_keyword","keyword_source","priority","status","cannibalisation_control"
"https://www.myglobalhealth.online/romania/cs/contact","contact","cs","Kontakt na Global Health Rumunsko","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/cs/doctors","doctors","cs","Lékaři, kteří skutečně zvedají.","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/cs/doctors/dr-alexandra-palaga","doctor","cs","Dr Alexandra Palaga","master","P1","draft ready","Clinician name only"
"https://www.myglobalhealth.online/romania/cs/doctors/dr-andreea-lorena-bica","doctor","cs","Dr Andreea Lorena Bica","master","P1","draft ready","Clinician name only"
"https://www.myglobalhealth.online/romania/cs/doctors/dr-robert-gabriel-brindus","doctor","cs","Dr Robert Gabriel Brindus","master","P1","draft ready","Clinician name only"
"https://www.myglobalhealth.online/romania/cs/gp-consultation-online","gp-consultation-online","cs","Online konzultace s praktickým lékařem v Rumunsku","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/cs/lab-tests","lab-tests","cs","Výsledky z laboratoře, posouzené našimi lékaři.","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/cs/legal","legal","cs","Právní informace.","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/cs/legal/complaints-procedure","legal","cs","Postup při stížnostech","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/cs/legal/privacy-policy","legal","cs","Zásady ochrany osobních údajů","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/cs/legal/refund-policy","legal","cs","Zásady vracení peněz","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/cs/legal/terms-of-service","legal","cs","Obchodní podmínky","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/cs/press","press","cs","Pro média","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/cs/pricing","pricing","cs","Péče, která se obnovuje s vámi","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/cs/see-a-specialist","see-a-specialist","cs","Poznejte naše registrované specialisty.","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/cs/services/a-doua-opinie-medicala","service","cs","Druhý lékařský názor","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/cs/services/boli-cronice-online","service","cs","Kontrola chronických onemocnění","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/cs/services/caderea-parului-online","service","cs","Posouzení vypadávání vlasů","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/cs/services/consultatie-dermatologica","service","cs","Prvotní posouzení kožních potíží","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/cs/services/consultatie-neurologie","service","cs","Online neurologická konzultace","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/cs/services/consultatie-pediatrie","service","cs","Online konzultace s pediatrem","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/cs/services/controlul-greutatii","service","cs","Lékařská konzultace ke kontrole hmotnosti","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/cs/services/dureri-musculo-scheletice","service","cs","Posouzení bolesti svalů a kloubů","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/cs/services/evaluare-durere","service","cs","Specializované posouzení bolesti — online konzultace","editorial label","HOLD","hold: no approved doctor","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/cs/services/medic-online-romania","service","cs","Online lékařská konzultace","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/cs/services/medic-pediatru-online","service","cs","Všeobecná konzultace pro děti","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/cs/services/medicina-calatoriei","service","cs","Lékařská konzultace před cestou","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/cs/services/reinnoire-tratament","service","cs","Posouzení pokračování léčby","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/cs/services/sanatate-mintala-online","service","cs","Všeobecné posouzení duševního zdraví","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/cs/services/sanatatea-barbatului-online","service","cs","Konzultace mužského zdraví","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/cs/services/sanatatea-femeii-online","service","cs","Konzultace ženského zdraví","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/cs/services/trimiteri-si-investigatii","service","cs","Doporučení k vyšetřením a odborné péči","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/cs/tools/adhd-test","tool","cs","test adhd copii online","master","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/cs/tools/blood-pressure-chart","tool","cs","Normální krevní tlak Rumunsko","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/cs/tools/bmi-calculator","tool","cs","graf bmi kalkulačky","master","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/cs/tools/calorie-calculator","tool","cs","Kalorická kalkulačka Rumunsko","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/cs/tools/due-date-calculator","tool","cs","ovulační kalkulačka","master","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/cs/tools/osteoporosis-risk-checker","tool","cs","Riziko osteoporózy Rumunsko","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/cs/tools/ovulation-calculator","tool","cs","Ovulační kalkulačka Rumunsko","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/cs/tools/sore-throat-checker","tool","cs","Angína, nebo virová bolest v krku Rumunsko","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/de","home","de","praktischer arzt in der nähe","master","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/de/about","about","de","Über Global Health Rumänien","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/de/blog","blog","de","Gesundheitsleitfäden von zugelassenen Ärzten.","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/de/blog/arztbrief-rumaenien","article","de","arztbrief","master","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/de/blog/blutdruck-sicher-senken-rumaenien","article","de","Hohen Blutdruck sicher senken: Was Sie in Rumänien tun sollten","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/de/blog/chronische-krankheiten-nationale-programme-rumaenien","article","de","Chronische Krankheiten und die nationalen Gesundheitsprogramme Rumäniens","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/de/blog/diabetes-die-stille-krankheit-5","article","de","Diabetes: Die stille Krankheit","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/de/blog/medical-review-policy","article","de","Wie wir medizinische Inhalte schreiben und prüfen","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/de/blog/niedriger-blutdruck-warum-er-entsteht-was-sofort-zu-tun-ist-und-wann-man-nicht-m","article","de","Niedriger Blutdruck: warum er entsteht, was sofort zu tun ist und wann man nicht mehr warten sollte","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/de/blog/normaler-blutdruck-hilfreicher-leitfaden-nach-alter-ohne-irrefuhrende-tabellen","article","de","132/84 blutdruck","master","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/de/book","book","de","not applicable","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/de/careers","careers","de","Karriere bei Global Health","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/de/contact","contact","de","Kontakt zu Global Health Rumänien","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/de/doctors","doctors","de","Ärzte, die wirklich abheben.","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/de/doctors/dr-alexandra-palaga","doctor","de","Dr Alexandra Palaga","master","P1","draft ready","Clinician name only"
"https://www.myglobalhealth.online/romania/de/doctors/dr-andreea-lorena-bica","doctor","de","Dr Andreea Lorena Bica","master","P1","draft ready","Clinician name only"
"https://www.myglobalhealth.online/romania/de/doctors/dr-robert-gabriel-brindus","doctor","de","Dr Robert Gabriel Brindus","master","P1","draft ready","Clinician name only"
"https://www.myglobalhealth.online/romania/de/gp-consultation-online","gp-consultation-online","de","Online-Hausarztkonsultation in Rumänien","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/de/lab-tests","lab-tests","de","Laborergebnisse, geprüft von unseren Ärzten.","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/de/legal","legal","de","Rechtliche Informationen.","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/de/legal/complaints-procedure","legal","de","Beschwerdeverfahren","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/de/legal/privacy-policy","legal","de","Datenschutzerklärung","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/de/legal/refund-policy","legal","de","Erstattungsrichtlinie","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/de/legal/terms-of-service","legal","de","Allgemeine Geschäftsbedingungen","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/de/press","press","de","Presse & Medien","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/de/pricing","pricing","de","Versorgung, die sich erneuert mit Ihnen","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/de/see-a-specialist","see-a-specialist","de","Lernen Sie unsere zugelassenen Spezialisten kennen.","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/de/services/a-doua-opinie-medicala","service","de","Zweite ärztliche Meinung","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/de/services/boli-cronice-online","service","de","Beratung bei chronischen Erkrankungen","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/de/services/caderea-parului-online","service","de","Beratung bei Haarausfall","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/de/services/consultatie-dermatologica","service","de","Erste Einschätzung von Hautproblemen","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/de/services/consultatie-neurologie","service","de","Neurologische Onlineberatung","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/de/services/consultatie-pediatrie","service","de","Onlineberatung beim Kinderarzt","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/de/services/controlul-greutatii","service","de","Ärztliche Beratung zum Gewicht","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/de/services/dureri-musculo-scheletice","service","de","Beratung bei Muskel- und Gelenkschmerzen","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/de/services/evaluare-durere","service","de","Spezialisierte Schmerzeinschätzung — Online-Beratung","editorial label","HOLD","hold: no approved doctor","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/de/services/medic-online-romania","service","de","Ärztliche Onlineberatung","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/de/services/medic-pediatru-online","service","de","Allgemeinmedizinische Beratung für Kinder","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/de/services/medicina-calatoriei","service","de","Reisemedizinische Beratung","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/de/services/reinnoire-tratament","service","de","Überprüfung einer laufenden Behandlung","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/de/services/sanatate-mintala-online","service","de","Allgemeine Beratung zur psychischen Gesundheit","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/de/services/sanatatea-barbatului-online","service","de","Beratung zur Männergesundheit","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/de/services/sanatatea-femeii-online","service","de","Beratung zur Frauengesundheit","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/de/services/trimiteri-si-investigatii","service","de","Beratung zu Untersuchungen und Überweisungen","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/de/tools/adhd-test","tool","de","ADHS Test Rumänien","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/de/tools/blood-pressure-chart","tool","de","Blutdruck tabelle Rumänien","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/de/tools/bmi-calculator","tool","de","BMI Rechner Rumänien","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/de/tools/calorie-calculator","tool","de","Kostenloser Kalorienrechner Rumänien","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/de/tools/due-date-calculator","tool","de","Geburtstermin berechnen Rumänien","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/de/tools/osteoporosis-risk-checker","tool","de","Osteoporose- Risikocheck Rumänien","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/de/tools/ovulation-calculator","tool","de","Eisprung berechnen Rumänien","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/de/tools/sore-throat-checker","tool","de","Mandelentzündung und Halsschmerzen-Check Rumänien","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/en","home","en","ask a doctor online","master","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/en/about","about","en","About Global Health Romania","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/en/blog","blog","en","Health Guides from Registered Doctors.","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/en/blog/chronic-disease-national-health-programmes-romania","article","en","Chronic disease and Romania's national health programmes: how it works","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/en/blog/diabetes-the-silent-disease-5","article","en","Diabetes: The Silent Disease","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/en/blog/how-to-lower-blood-pressure-quickly-and-safely","article","en","ce trebuie sa faci cand ai tensiunea mare","master","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/en/blog/low-blood-pressure-why-it-happens-what-to-do-right-away-and-when-not-to-wait","article","en","112/54 blood pressure","master","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/en/blog/medical-letter-romania","article","en","how can i get a doctors note","master","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/en/blog/medical-review-policy","article","en","How we write and review medical content","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/en/blog/normal-blood-pressure-a-practical-guide-by-age-without-misleading-tables","article","en","126/94 blood pressure","master","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/en/book","book","en","not applicable","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/en/careers","careers","en","Careers at Global Health","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/en/contact","contact","en","Contact Global Health Romania","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/en/doctors","doctors","en","Doctors who actually pick up.","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/en/doctors/dr-alexandra-palaga","doctor","en","Dr Alexandra Palaga","master","P1","draft ready","Clinician name only"
"https://www.myglobalhealth.online/romania/en/doctors/dr-andreea-lorena-bica","doctor","en","Dr Andreea Lorena Bica","master","P1","draft ready","Clinician name only"
"https://www.myglobalhealth.online/romania/en/doctors/dr-robert-gabriel-brindus","doctor","en","Dr Robert Gabriel Brindus","master","P1","draft ready","Clinician name only"
"https://www.myglobalhealth.online/romania/en/faq","faq","en","Questions, answered without the marketing speak.","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/en/gp-consultation-online","gp-consultation-online","en","Online GP Consultation in România","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/en/lab-tests","lab-tests","en","medical testing","master","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/en/legal","legal","en","Legal information.","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/en/legal/complaints-procedure","legal","en","Complaints Procedure","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/en/legal/cookie-policy","legal","en","Cookie Policy","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/en/legal/medical-disclaimer","legal","en","Medical Disclaimer","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/en/legal/privacy-policy","legal","en","Privacy Policy","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/en/legal/refund-policy","legal","en","Refund Policy","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/en/legal/terms-of-service","legal","en","Terms and Conditions","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/en/press","press","en","Press & media","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/en/pricing","pricing","en","Care that renews with you","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/en/see-a-specialist","see-a-specialist","en","Meet our registered specialists.","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/en/services/a-doua-opinie-medicala","service","en","Second medical opinion","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/en/services/boli-cronice-online","service","en","Chronic condition review","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/en/services/caderea-parului-online","service","en","Hair loss assessment","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/en/services/consultatie-dermatologica","service","en","Initial skin assessment","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/en/services/consultatie-neurologie","service","en","Online neurology consultation","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/en/services/consultatie-pediatrie","service","en","Online pediatrician consultation","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/en/services/controlul-greutatii","service","en","Medical weight management review","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/en/services/dureri-musculo-scheletice","service","en","Muscle and joint pain assessment","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/en/services/evaluare-durere","service","en","Specialist Pain Assessment — Anaesthesiologist Online","editorial label","HOLD","hold: no approved doctor","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/en/services/medic-online-romania","service","en","Online medical consultation","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/en/services/medic-pediatru-online","service","en","General medical consultation for children","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/en/services/medicina-calatoriei","service","en","Pre-travel medical consultation","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/en/services/reinnoire-tratament","service","en","Treatment renewal review","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/en/services/sanatate-mintala-online","service","en","General mental health assessment","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/en/services/sanatatea-barbatului-online","service","en","Men’s health consultation","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/en/services/sanatatea-femeii-online","service","en","Women’s health consultation","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/en/services/trimiteri-si-investigatii","service","en","Tests and referral advice","master","P1","draft ready","One clinical service intent; preserve GP/specialist distinction"
"https://www.myglobalhealth.online/romania/en/tools/adhd-test","tool","en","ADHD test Romania","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/en/tools/blood-pressure-chart","tool","en","blood pressure in romanian","master","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/en/tools/bmi-calculator","tool","en","BMI calculator Romania","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/en/tools/calorie-calculator","tool","en","Calorie calculator Romania","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/en/tools/due-date-calculator","tool","en","Due date calculator Romania","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/en/tools/osteoporosis-risk-checker","tool","en","Osteoporosis risk checker Romania","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
