"keyword","seed","reason","search_volume"
"clinica online","GSC","No clear page-topic relevance; retain raw evidence only",""
"clinica sunday","GSC","No clear page-topic relevance; retain raw evidence only",""
"consultatie online","GSC","No clear page-topic relevance; retain raw evidence only",""
"consultatii online","GSC","No clear page-topic relevance; retain raw evidence only",""
"consultatii online gratuite","GSC","No clear page-topic relevance; retain raw evidence only",""
"cual es la presion normal","GSC","No clear page-topic relevance; retain raw evidence only",""
"cual es la presión arterial normal de un adulto mayor","GSC","No clear page-topic relevance; retain raw evidence only",""
"cual es lo normal de la presion arterial en adultos","GSC","No clear page-topic relevance; retain raw evidence only",""
"cuál es la presión normal","GSC","No clear page-topic relevance; retain raw evidence only",""
"da","GSC","No clear page-topic relevance; retain raw evidence only",""
"da doresc","GSC","No clear page-topic relevance; retain raw evidence only",""
"data ultimei menstruatii","GSC","No clear page-topic relevance; retain raw evidence only",""
"dexa scan brasov","GSC","No clear page-topic relevance; retain raw evidence only",""
"dexa scan romania","GSC","No clear page-topic relevance; retain raw evidence only",""
"diagnosis appointment","GSC","No clear page-topic relevance; retain raw evidence only",""
"doc appointment","GSC","No clear page-topic relevance; retain raw evidence only",""
"doc on line","GSC","No clear page-topic relevance; retain raw evidence only",""
"doresc","GSC","No clear page-topic relevance; retain raw evidence only",""
"dr appointment","GSC","No clear page-topic relevance; retain raw evidence only",""
"dr book online","GSC","No clear page-topic relevance; retain raw evidence only",""
"dr booking online","GSC","No clear page-topic relevance; retain raw evidence only",""
"dr romania","GSC","No clear page-topic relevance; retain raw evidence only",""
"dr where","GSC","No clear page-topic relevance; retain raw evidence only",""
"especialidad en coordinacion de investigaciones medicas","GSC","Commercial query does not match verified service intent",""
"find a gp","GSC","No clear page-topic relevance; retain raw evidence only",""
"fără bilet de trimitere","GSC","No clear page-topic relevance; retain raw evidence only",""
"germania","GSC","No clear page-topic relevance; retain raw evidence only",""
"ginecolog online","GSC","No clear page-topic relevance; retain raw evidence only",""
"gp appointment","GSC","No clear page-topic relevance; retain raw evidence only",""
"gp clinic","GSC","No clear page-topic relevance; retain raw evidence only",""
"gp consultation","GSC","No clear page-topic relevance; retain raw evidence only",""
"gp health","GSC","No clear page-topic relevance; retain raw evidence only",""
"gp surgery","GSC","No clear page-topic relevance; retain raw evidence only",""
"health care","GSC","No clear page-topic relevance; retain raw evidence only",""
"hodnoty krevního tlaku podle věku","GSC","No clear page-topic relevance; retain raw evidence only",""
"indice corporal calculator","GSC","No clear page-topic relevance; retain raw evidence only",""
"indice greutate","GSC","No clear page-topic relevance; retain raw evidence only",""
"indice obezitate calcul","GSC","No clear page-topic relevance; retain raw evidence only",""
"interpreteaza asta","GSC","No clear page-topic relevance; retain raw evidence only",""
"ja","GSC","No clear page-topic relevance; retain raw evidence only",""
"make an appointment","GSC","No clear page-topic relevance; retain raw evidence only",""
"migrala","GSC","No clear page-topic relevance; retain raw evidence only",""
"mittlerer arterieller druck normwerte","GSC","No clear page-topic relevance; retain raw evidence only",""
"my anytime","GSC","No clear page-topic relevance; retain raw evidence only",""
"my health","GSC","No clear page-topic relevance; retain raw evidence only",""
"nearest gp to me","GSC","No clear page-topic relevance; retain raw evidence only",""
"niveles de la presión arterial normal","GSC","No clear page-topic relevance; retain raw evidence only",""
"nu","GSC","No clear page-topic relevance; retain raw evidence only",""
"nu...","GSC","No clear page-topic relevance; retain raw evidence only",""
"o que fazer tensão baixa","GSC","No clear page-topic relevance; retain raw evidence only",""
"obezitate calcul","GSC","No clear page-topic relevance; retain raw evidence only",""
"online appointments gp","GSC","No clear page-topic relevance; retain raw evidence only",""
"online beratung bei haarausfall","GSC","No clear page-topic relevance; retain raw evidence only",""
"online consult gp","GSC","No clear page-topic relevance; retain raw evidence only",""
"online consultation","GSC","No clear page-topic relevance; retain raw evidence only",""
"online consultation gp","GSC","No clear page-topic relevance; retain raw evidence only",""
"online doktor","GSC","No clear page-topic relevance; retain raw evidence only",""
"online dr","GSC","No clear page-topic relevance; retain raw evidence only",""
"online gp consultation","GSC","No clear page-topic relevance; retain raw evidence only",""
"online health care","GSC","No clear page-topic relevance; retain raw evidence only",""
"online healthcare","GSC","No clear page-topic relevance; retain raw evidence only",""
"online healthy ticket","GSC","No clear page-topic relevance; retain raw evidence only",""
"online-beratung bei haarausfall","GSC","No clear page-topic relevance; retain raw evidence only",""
"pediatra","GSC","No clear page-topic relevance; retain raw evidence only",""
"pediatric gastroenterology specialist online second opinion specialist opinion","GSC","No clear page-topic relevance; retain raw evidence only",""
"pediatru online","GSC","No clear page-topic relevance; retain raw evidence only",""
"physician to go","GSC","No clear page-topic relevance; retain raw evidence only",""
"plodné dny","GSC","No clear page-topic relevance; retain raw evidence only",""
"presion arterial normal","GSC","No clear page-topic relevance; retain raw evidence only",""
"presion arterial normal a los 75 años","GSC","No clear page-topic relevance; retain raw evidence only",""
"presion arterial por edades","GSC","No clear page-topic relevance; retain raw evidence only",""
"presion arterial recomendada","GSC","No clear page-topic relevance; retain raw evidence only",""
"presion normal","GSC","No clear page-topic relevance; retain raw evidence only",""
"presion normal de un adulto","GSC","No clear page-topic relevance; retain raw evidence only",""
"presion normal en adultos","GSC","No clear page-topic relevance; retain raw evidence only",""
"presión arterial normal en adultos mayores","GSC","No clear page-topic relevance; retain raw evidence only",""
"presión arterial normal por edad","GSC","No clear page-topic relevance; retain raw evidence only",""
"presión normal en un adulto","GSC","No clear page-topic relevance; retain raw evidence only",""
"pressió arterial normal","GSC","No clear page-topic relevance; retain raw evidence only",""
"prima","GSC","No clear page-topic relevance; retain raw evidence only",""
"private consultation","GSC","No clear page-topic relevance; retain raw evidence only",""
"program national de sanatate","GSC","No clear page-topic relevance; retain raw evidence only",""
"provider","GSC","No clear page-topic relevance; retain raw evidence only",""
"rata metabolica bazala calculator","GSC","No clear page-topic relevance; retain raw evidence only",""
"romania specialist","GSC","No clear page-topic relevance; retain raw evidence only",""
"românia","GSC","No clear page-topic relevance; retain raw evidence only",""
"roumanie","GSC","No clear page-topic relevance; retain raw evidence only",""
"tabela tensão arterial","GSC","No clear page-topic relevance; retain raw evidence only",""
"tdee calculator romana","GSC","No clear page-topic relevance; retain raw evidence only",""
"tensão baixa","GSC","No clear page-topic relevance; retain raw evidence only",""
"totul calculat ro","GSC","No clear page-topic relevance; retain raw evidence only",""
"va bene questo","GSC","No clear page-topic relevance; retain raw evidence only",""
"valores normales de la presion","GSC","No clear page-topic relevance; retain raw evidence only",""
"valores normales de presion","GSC","No clear page-topic relevance; retain raw evidence only",""
"valores normales de presion arterial","GSC","No clear page-topic relevance; retain raw evidence only",""
"valores normales de presión arterial","GSC","No clear page-topic relevance; retain raw evidence only",""
"verified dr","GSC","No clear page-topic relevance; retain raw evidence only",""
"давление 99 на 63","GSC","No clear page-topic relevance; retain raw evidence only",""
"дозування","GSC","No clear page-topic relevance; retain raw evidence only",""
"medic chat","medic online","Competitor brand","3600"
"medic online gratis non stop","medic online","Free/always-on/emergency intent unsupported","480"
"intreaba un medic gratis","medic online","Free/always-on/emergency intent unsupported","210"
"doctor online gratis","medic online","Free/always-on/emergency intent unsupported","140"
"consultatii online gratuite","medic online","Free/always-on/emergency intent unsupported","110"
"diagnostic online gratis","medic online","Free/always-on/emergency intent unsupported","110"
"medic chat pareri","medic online","Competitor brand","90"
"medic online gratuit","medic online","Free/always-on/emergency intent unsupported","70"
"peditel online","medic online","No evidenced existing service intent","70"
"intreaba un medic gratuit","medic online","Free/always-on/emergency intent unsupported","50"
"intreaba medicul online gratis","medic online","Free/always-on/emergency intent unsupported","50"
"sfatul medicului online","medic online","No evidenced existing service intent","50"
"medic ginecolog online gratis","medic online","Free/always-on/emergency intent unsupported","40"
"doctor online romania gratis","medic online","Free/always-on/emergency intent unsupported","40"
"medic ginecolog online gratuit","medic online","Free/always-on/emergency intent unsupported","40"
"manechin medical online","medic online","No evidenced existing service intent","40"
"doctor online gratuit chat","medic online","Free/always-on/emergency intent unsupported","30"
"medic ginecolog online","medic online","No evidenced existing service intent","30"
"simptome diagnostic online","medic online","No evidenced existing service intent","30"
"aplicatie diagnostic medical","medic online","No evidenced existing service intent","30"
"medic chat pret","medic online","Competitor brand","30"
"intreaba medicul online","medic online","No evidenced existing service intent","20"
"ada online","medic online","No evidenced existing service intent","20"
"ada verifica ti sanatatea","medic online","No evidenced existing service intent","20"
"urolog online gratuit","medic online","Free/always-on/emergency intent unsupported","20"
"medic online gratis non stop romania","medic online","Free/always-on/emergency intent unsupported","10"
"medic chat contact","medic online","Competitor brand","10"
"medic pediatru online gratuit","medic online","Free/always-on/emergency intent unsupported",""
"intreaba un medic regina maria","medic online","Competitor brand",""
"medic chat gratuit","medic online","Competitor brand",""
"pediatru online non stop","medic online","Free/always-on/emergency intent unsupported",""
"diagnostic online regina maria","medic online","Competitor brand",""
"medic chat","pediatru online","Competitor brand","3600"
"alopedi","pediatru online","No evidenced existing service intent","720"
"medic online gratis non stop","pediatru online","Free/always-on/emergency intent unsupported","480"
"peditel contact","pediatru online","No evidenced existing service intent","480"
"peditel telefon","pediatru online","No evidenced existing service intent","260"
"intreaba un medic gratis","pediatru online","Free/always-on/emergency intent unsupported","210"
"doctor online gratis","pediatru online","Free/always-on/emergency intent unsupported","140"
"alopedi contact","pediatru online","No evidenced existing service intent","110"
"consultatii online gratuite","pediatru online","Free/always-on/emergency intent unsupported","110"
"diagnostic online gratis","pediatru online","Free/always-on/emergency intent unsupported","110"
"peditel cluj","pediatru online","Physical location, employment, form or public-system intent; no commercial owner","90"
"peditel bucuresti","pediatru online","Physical location, employment, form or public-system intent; no commercial owner","90"
"peditel online","pediatru online","No evidenced existing service intent","70"
"peditel gratuit","pediatru online","Free/always-on/emergency intent unsupported","70"
"peditel 1791","pediatru online","No evidenced existing service intent","70"
"medic online gratuit","pediatru online","Free/always-on/emergency intent unsupported","70"
"telemedicina romania","pediatru online","No evidenced existing service intent","70"
"intreaba un medic gratuit","pediatru online","Free/always-on/emergency intent unsupported","50"
"peditel recenzii","pediatru online","No evidenced existing service intent","50"
"intreaba medicul online gratis","pediatru online","Free/always-on/emergency intent unsupported","50"
"medic ginecolog online gratuit","pediatru online","Free/always-on/emergency intent unsupported","40"
"medic ginecolog online gratis","pediatru online","Free/always-on/emergency intent unsupported","40"
"doctor online romania gratis","pediatru online","Free/always-on/emergency intent unsupported","40"
"manechin medical online","pediatru online","No evidenced existing service intent","40"
"contact peditel","pediatru online","No evidenced existing service intent","30"
"peditel nr telefon","pediatru online","No evidenced existing service intent","30"
"doctor online gratuit chat","pediatru online","Free/always-on/emergency intent unsupported","30"
"numar telefon peditel","pediatru online","No evidenced existing service intent","30"
"medic ginecolog online","pediatru online","No evidenced existing service intent","30"
"simptome diagnostic online","pediatru online","No evidenced existing service intent","30"
"aplicatie diagnostic medical","pediatru online","No evidenced existing service intent","30"
"medic chat pret","pediatru online","Competitor brand","30"
"urolog online gratuit","pediatru online","Free/always-on/emergency intent unsupported","20"
"peditel sau alopedi","pediatru online","No evidenced existing service intent","20"
"telefon peditel","pediatru online","No evidenced existing service intent","20"
"intreaba medicul online","pediatru online","No evidenced existing service intent","20"
"ada online","pediatru online","No evidenced existing service intent","20"
"ada verifica ti sanatatea","pediatru online","No evidenced existing service intent","20"
"peditel contact bucuresti","pediatru online","Physical location, employment, form or public-system intent; no commercial owner","10"
"alo peditel","pediatru online","No evidenced existing service intent","10"
"telefon pediatrie non stop","pediatru online","Free/always-on/emergency intent unsupported","10"
"1791 peditel","pediatru online","No evidenced existing service intent","10"
"peditel aplicatie","pediatru online","No evidenced existing service intent","10"
"peditel digi","pediatru online","No evidenced existing service intent","10"
"peditel numar international","pediatru online","No evidenced existing service intent","10"
"peditel iasi","pediatru online","Physical location, employment, form or public-system intent; no commercial owner","10"
"peditel tarif","pediatru online","No evidenced existing service intent","10"
"peditel febra","pediatru online","No evidenced existing service intent","10"
"peditel cluj contact","pediatru online","Physical location, employment, form or public-system intent; no commercial owner","10"
"peditel whatsapp","pediatru online","No evidenced existing service intent","10"
"medic chat contact","pediatru online","Competitor brand","10"
"medic online gratis non stop romania","pediatru online","Free/always-on/emergency intent unsupported","10"
"telemedicina bucuresti","pediatru online","Physical location, employment, form or public-system intent; no commercial owner","10"
"servicii de telemedicina","pediatru online","No evidenced existing service intent","10"
"asistenta medicala telefonica","pediatru online","No evidenced existing service intent","10"
"medic pediatru online gratuit","pediatru online","Free/always-on/emergency intent unsupported",""
"pediatru online non stop","pediatru online","Free/always-on/emergency intent unsupported",""
"neurolog pediatru online","pediatru online","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent",""
"medic chat gratuit","pediatru online","Competitor brand",""
"pediatru non stop bucuresti","pediatru online","Free/always-on/emergency intent unsupported",""
"intreaba un medic regina maria","pediatru online","Competitor brand",""
"cabinet pediatrie bucuresti","pediatru online","Physical location, employment, form or public-system intent; no commercial owner",""
"peditel brasov","pediatru online","Physical location, employment, form or public-system intent; no commercial owner",""
"peditel adulti","pediatru online","No evidenced existing service intent",""
"pareri peditel","pediatru online","No evidenced existing service intent",""
"urgente copii cluj","pediatru online","Free/always-on/emergency intent unsupported",""
"diagnostic online regina maria","pediatru online","Competitor brand",""
"pareri medicentrum","pediatru online","No evidenced existing service intent",""
"medic chat","neurolog online","Competitor brand","3600"
"sfatul medicului","neurolog online","No evidenced existing service intent","590"
"medic online gratis non stop","neurolog online","Free/always-on/emergency intent unsupported","480"
"intreaba un medic gratis","neurolog online","Free/always-on/emergency intent unsupported","210"
"doctor online gratis","neurolog online","Free/always-on/emergency intent unsupported","140"
"medici online","neurolog online","No evidenced existing service intent","140"
"consultatii online gratuite","neurolog online","Free/always-on/emergency intent unsupported","110"
"diagnostic online gratis","neurolog online","Free/always-on/emergency intent unsupported","110"
"alopedi contact","neurolog online","No evidenced existing service intent","110"
"telemedicina online","neurolog online","No evidenced existing service intent","90"
"medic chat pareri","neurolog online","Competitor brand","90"
"telemedicina romania","neurolog online","No evidenced existing service intent","70"
"peditel online","neurolog online","No evidenced existing service intent","70"
"medic online gratuit","neurolog online","Free/always-on/emergency intent unsupported","70"
"intreaba medicul online gratis","neurolog online","Free/always-on/emergency intent unsupported","50"
"intreaba un medic gratuit","neurolog online","Free/always-on/emergency intent unsupported","50"
"sfatul medicului ro intrebari raspunsuri","neurolog online","No evidenced existing service intent","50"
"telemedicina metropolitan life","neurolog online","No evidenced existing service intent","50"
"sfatul medicului online","neurolog online","No evidenced existing service intent","50"
"forum intrebari si raspunsuri","neurolog online","No evidenced existing service intent","50"
"intreaba medicul","neurolog online","No evidenced existing service intent","40"
"doctor online romania gratis","neurolog online","Free/always-on/emergency intent unsupported","40"
"medic ginecolog online gratis","neurolog online","Free/always-on/emergency intent unsupported","40"
"manechin medical online","neurolog online","No evidenced existing service intent","40"
"medic ginecolog online gratuit","neurolog online","Free/always-on/emergency intent unsupported","40"
"telemedicina legislatie","neurolog online","No evidenced existing service intent","40"
"doctor online gratuit chat","neurolog online","Free/always-on/emergency intent unsupported","30"
"simptome diagnostic online","neurolog online","No evidenced existing service intent","30"
"aplicatie diagnostic medical","neurolog online","No evidenced existing service intent","30"
"medic chat pret","neurolog online","Competitor brand","30"
"platforma telemedicina","neurolog online","No evidenced existing service intent","30"
"medic ginecolog online","neurolog online","No evidenced existing service intent","30"
"contact peditel","neurolog online","No evidenced existing service intent","30"
"peditel nr telefon","neurolog online","No evidenced existing service intent","30"
"ada online","neurolog online","No evidenced existing service intent","20"
"ada verifica ti sanatatea","neurolog online","No evidenced existing service intent","20"
"sfatul medicului telefon","neurolog online","No evidenced existing service intent","20"
"intreaba medicul online","neurolog online","No evidenced existing service intent","20"
"urolog online gratuit","neurolog online","Free/always-on/emergency intent unsupported","20"
"ada aplicatie","neurolog online","No evidenced existing service intent","20"
"verifica sanatatea manechin","neurolog online","No evidenced existing service intent","20"
"telemedicina bucuresti","neurolog online","Physical location, employment, form or public-system intent; no commercial owner","10"
"servicii de telemedicina","neurolog online","No evidenced existing service intent","10"
"asistenta medicala telefonica","neurolog online","No evidenced existing service intent","10"
"medic chat contact","neurolog online","Competitor brand","10"
"medic online gratis non stop romania","neurolog online","Free/always-on/emergency intent unsupported","10"
"consultatii telemedicina cnas","neurolog online","Physical location, employment, form or public-system intent; no commercial owner","10"
"telemedicina angajari","neurolog online","No evidenced existing service intent","10"
"peditel contact bucuresti","neurolog online","Physical location, employment, form or public-system intent; no commercial owner","10"
"alo peditel","neurolog online","No evidenced existing service intent","10"
"telefon pediatrie non stop","neurolog online","Free/always-on/emergency intent unsupported","10"
"1791 peditel","neurolog online","No evidenced existing service intent","10"
"peditel aplicatie","neurolog online","No evidenced existing service intent","10"
"ada sanatate","neurolog online","No evidenced existing service intent","10"
"forum sfatul medicului","neurolog online","No evidenced existing service intent","10"
"site-uri medicale de specialitate","neurolog online","No evidenced existing service intent","10"
"medic online chisinau","neurolog online","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent","0"
"aplicatia ada forum","neurolog online","No evidenced existing service intent","0"
"intreaba un medic ginecolog online gratis","neurolog online","Free/always-on/emergency intent unsupported",""
"medic pediatru online gratuit","neurolog online","Free/always-on/emergency intent unsupported",""
"pareri medicentrum","neurolog online","No evidenced existing service intent",""
"medic chat gratuit","neurolog online","Competitor brand",""
"pediatru online non stop","neurolog online","Free/always-on/emergency intent unsupported",""
"diagnostic online regina maria","neurolog online","Competitor brand",""
"telemedicina regina maria","neurolog online","Competitor brand",""
"regina maria programari online","neurolog online","Competitor brand",""
"intreaba un medic regina maria","neurolog online","Competitor brand",""
"pediatru non stop bucuresti","neurolog online","Free/always-on/emergency intent unsupported",""
"interpretare rmn gratuit","a doua opinie medicala","Free/always-on/emergency intent unsupported","110"
"a doua opinie medicala gratuita","a doua opinie medicala","Free/always-on/emergency intent unsupported","90"
"cine citeste rmn la coloana","a doua opinie medicala","No evidenced existing service intent","50"
"clinica sanador victoriei corp b recenzii","a doua opinie medicala","Competitor brand","40"
"a doua opinie medicala legislatie","a doua opinie medicala","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent","20"
"pareri dr ciprut","a doua opinie medicala","No evidenced existing service intent","20"
"dr ciprut tudor varsta","a doua opinie medicala","No evidenced existing service intent","20"
"procedura a doua opinie medicala","a doua opinie medicala","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent","10"
"dr ciprut tudor regina maria","a doua opinie medicala","Competitor brand","10"
"clinici specializate in a doua opinie medicala","a doua opinie medicala","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent",""
"second opinion oncologie","a doua opinie medicala","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent",""
"second opinion imagistica","a doua opinie medicala","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent",""
"second opinion rmn","a doua opinie medicala","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent",""
"a doua opinie cancer","a doua opinie medicala","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent",""
"second opinion rmn cluj","a doua opinie medicala","Physical location, employment, form or public-system intent; no commercial owner",""
"interpretare ct online","a doua opinie medicala","No evidenced existing service intent",""
"interpretare rmn pret","a doua opinie medicala","No evidenced existing service intent",""
"second opinion turcia","a doua opinie medicala","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent",""
"interpretare rmn online","a doua opinie medicala","No evidenced existing service intent",""
"interpretare rmn coloana lombara","a doua opinie medicala","No evidenced existing service intent",""
"interpretare rmn pelvis","a doua opinie medicala","No evidenced existing service intent",""
"interpretare rmn cluj","a doua opinie medicala","Physical location, employment, form or public-system intent; no commercial owner",""
"rezultat rmn in cat timp","a doua opinie medicala","No evidenced existing service intent",""
"regina maria call center","consultatie online","Competitor brand","12100"
"medic chat","consultatie online","Competitor brand","3600"
"program call center regina maria","consultatie online","Competitor brand","590"
"medic online gratis non stop","consultatie online","Free/always-on/emergency intent unsupported","480"
"regina maria call center program","consultatie online","Competitor brand","260"
"regina maria call center bucuresti","consultatie online","Competitor brand","260"
"intreaba un medic gratis","consultatie online","Free/always-on/emergency intent unsupported","210"
"doctor online gratis","consultatie online","Free/always-on/emergency intent unsupported","140"
"consultatii online gratuite","consultatie online","Free/always-on/emergency intent unsupported","110"
"diagnostic online gratis","consultatie online","Free/always-on/emergency intent unsupported","110"
"medic chat pareri","consultatie online","Competitor brand","90"
"medic online gratuit","consultatie online","Free/always-on/emergency intent unsupported","70"
"peditel online","consultatie online","No evidenced existing service intent","70"
"telemedicina romania","consultatie online","No evidenced existing service intent","70"
"intreaba medicul online gratis","consultatie online","Free/always-on/emergency intent unsupported","50"
"intreaba un medic gratuit","consultatie online","Free/always-on/emergency intent unsupported","50"
"sfatul medicului online","consultatie online","No evidenced existing service intent","50"
"sfatul medicului ro intrebari raspunsuri","consultatie online","No evidenced existing service intent","50"
"medic ginecolog online gratuit","consultatie online","Free/always-on/emergency intent unsupported","40"
"doctor online romania gratis","consultatie online","Free/always-on/emergency intent unsupported","40"
"medic ginecolog online gratis","consultatie online","Free/always-on/emergency intent unsupported","40"
"manechin medical online","consultatie online","No evidenced existing service intent","40"
"regina maria call center brasov","consultatie online","Competitor brand","40"
"doctor online gratuit chat","consultatie online","Free/always-on/emergency intent unsupported","30"
"medic ginecolog online","consultatie online","No evidenced existing service intent","30"
"simptome diagnostic online","consultatie online","No evidenced existing service intent","30"
"aplicatie diagnostic medical","consultatie online","No evidenced existing service intent","30"
"medic chat pret","consultatie online","Competitor brand","30"
"intreaba medicul online","consultatie online","No evidenced existing service intent","20"
"ada online","consultatie online","No evidenced existing service intent","20"
"ada verifica ti sanatatea","consultatie online","No evidenced existing service intent","20"
"urolog online gratuit","consultatie online","Free/always-on/emergency intent unsupported","20"
"ada aplicatie","consultatie online","No evidenced existing service intent","20"
"verifica sanatatea manechin","consultatie online","No evidenced existing service intent","20"
"medic chat contact","consultatie online","Competitor brand","10"
"medic online gratis non stop romania","consultatie online","Free/always-on/emergency intent unsupported","10"
"telemedicina bucuresti","consultatie online","Physical location, employment, form or public-system intent; no commercial owner","10"
"servicii de telemedicina","consultatie online","No evidenced existing service intent","10"
"asistenta medicala telefonica","consultatie online","No evidenced existing service intent","10"
"ada sanatate","consultatie online","No evidenced existing service intent","10"
"aplicatia ada forum","consultatie online","No evidenced existing service intent","0"
"regina maria consultatii online","consultatie online","Competitor brand",""
"consultatie medicala","consultatie online","No evidenced existing service intent",""
"medic pediatru online gratuit","consultatie online","Free/always-on/emergency intent unsupported",""
"medic chat gratuit","consultatie online","Competitor brand",""
"consultatie regina maria pret","consultatie online","Competitor brand",""
"regina maria programari online","consultatie online","Competitor brand",""
"regina maria clinica virtuala contul meu","consultatie online","Competitor brand",""
"diagnostic online regina maria","consultatie online","Competitor brand",""
"pediatru online non stop","consultatie online","Free/always-on/emergency intent unsupported",""
"intreaba un medic regina maria","consultatie online","Competitor brand",""
"regina maria programari bucuresti","consultatie online","Competitor brand",""
"regina maria telefon","consultatie online","Competitor brand",""
"anulare programare regina maria","consultatie online","Competitor brand",""
"contact regina maria craiova","consultatie online","Competitor brand",""
"medici regina maria craiova","consultatie online","Competitor brand",""
"programare regina maria brasov","consultatie online","Competitor brand",""
"regina maria contact programari","consultatie online","Competitor brand",""
"regina maria call center cluj","consultatie online","Competitor brand",""
"regina maria programari telefon","consultatie online","Competitor brand",""
"programari regina maria bucuresti","consultatie online","Competitor brand",""
"pareri medicentrum","consultatie online","No evidenced existing service intent",""
"intrebari ginecolog","consultatie online","No evidenced existing service intent",""
"reinoire sau reinnoire","reinnoire reteta","Nonmedical renewal, shopping or home-remedy intent","320"
"reinnoire sau reinoire","reinnoire reteta","Nonmedical renewal, shopping or home-remedy intent","50"
"pret reinnoire certsign","reinnoire reteta","Nonmedical renewal, shopping or home-remedy intent","10"
"certsign reinnoire pret","reinnoire reteta","Nonmedical renewal, shopping or home-remedy intent","10"
"reinnoire atestat marfa","reinnoire reteta","Nonmedical renewal, shopping or home-remedy intent","10"
"calculator reteta","reinnoire reteta","Renewal/prescription wording lacks medical service context","390"
"reteta erbicid","reinnoire reteta","Renewal/prescription wording lacks medical service context",""
"calculator reteta compensata","reinnoire reteta","Renewal/prescription wording lacks medical service context","90"
"ce inseamna pns pe reteta","reinnoire reteta","Renewal/prescription wording lacks medical service context","50"
"ce inseamna ds pe reteta","reinnoire reteta","Renewal/prescription wording lacks medical service context","40"
"reteta beton pentru matrite","reinnoire reteta","Renewal/prescription wording lacks medical service context","30"
"reteta biogaz","reinnoire reteta","Renewal/prescription wording lacks medical service context","10"
"reteta erbicid total","reinnoire reteta","Renewal/prescription wording lacks medical service context","10"
"reteta curatat faianta","reinnoire reteta","Renewal/prescription wording lacks medical service context","10"
"reteta ciment sclivisit","reinnoire reteta","Renewal/prescription wording lacks medical service context","10"
"suppli reteta originala","reinnoire reteta","Renewal/prescription wording lacks medical service context","10"
"reteta piatra decorativa","reinnoire reteta","Renewal/prescription wording lacks medical service context","10"
"reteta beton prefabricate","reinnoire reteta","Renewal/prescription wording lacks medical service context","10"
"reteta boltari ciment","reinnoire reteta","Renewal/prescription wording lacks medical service context","10"
"reteta tencuiala interior","reinnoire reteta","Renewal/prescription wording lacks medical service context","10"
"reteta beton colorat","reinnoire reteta","Renewal/prescription wording lacks medical service context","10"
"reteta unei comunicari eficiente","reinnoire reteta","Renewal/prescription wording lacks medical service context","10"
"reteta pentru beton amprentat","reinnoire reteta","Renewal/prescription wording lacks medical service context","10"
"reteta mortar zidarie betoniera","reinnoire reteta","Renewal/prescription wording lacks medical service context","10"
