"url","page_type","topic","title","meta_description","h1","subheadings","content_length","primary_cta","secondary_cta","trust_signals","safety_content","faq_count","schema_types","indexable","canonical","internal_links","ranking_keyword_count","estimated_traffic","referring_domains","observed_at","notes"
"https://www.webdoctor.ie/bmi-calculator/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2026-07-30T09:10:52+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/careers/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2025-07-31T09:52:07+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/cholesterol-lowering-diet-ireland/","editorial/supporting","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/post-sitemap.xml; lastmod 2026-08-03T19:18:49+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/cold-sore-treatment/cold-sore-treatment-options/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2024-05-03T08:08:43+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/cold-sore-treatments/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2026-05-03T11:23:40+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/cold-sore-treatments/what-causes-cold-sores/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2024-05-03T08:08:44+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/collinson/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2024-05-03T08:08:46+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/contact-us/","support","contact","","","Contact Webdoctor.ie","contact routes","","Contact","Help centre","Company contact details","","","WebPage|BreadcrumbList","true","self","Help and policy links","","","","2026-08-25","Observed live"
"https://www.webdoctor.ie/contraceptive-pill-patch/","treatment_hub","contraception","","","Contraceptive pill and patch","eligibility|measurements|types|interactions|side effects|urgent safety","","Request Prescription – €25","Related women's health","Irish registration|price|turnaround","Contraindications|side effects|urgent escalation","Present","WebPage|BreadcrumbList|AggregateRating","true","self","Child treatment and education pages","","","","2026-08-25","Observed live; clinically sensitive"
"https://www.webdoctor.ie/contraceptive-pill-patch/best-contraceptive-pill/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2024-05-03T08:10:53+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/contraceptive-pill-patch/birth-control-side-effects/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2024-05-03T08:08:09+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/contraceptive-pill-patch/combined-oral-contraceptive-pill/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2026-06-11T07:58:46+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/contraceptive-pill-patch/contraception-choosing-the-right-type/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2024-05-03T08:08:50+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/contraceptive-pill-patch/contraceptive-methods/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2024-05-03T08:08:52+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/contraceptive-pill-patch/contraceptive-patch/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2026-06-11T07:58:31+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/contraceptive-pill-patch/contraceptive-pill-in-ireland/","supporting_article","contraception education","","","Contraceptive pill in Ireland","education|eligibility|options","","Read guidance","Request pathway","Treatment hub association","Clinical cautions","","WebPage|BreadcrumbList","true","self","Contraception hub","","","","2026-08-25","Observed cluster example"
"https://www.webdoctor.ie/contraceptive-pill-patch/contraceptive-ring/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2026-06-11T07:58:08+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/contraceptive-pill-patch/progesterone-only-oral-contraceptive-pill/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2026-06-11T07:58:38+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/contraceptive-pill-patch/what-is-birth-control/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2026-05-03T09:26:48+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/corporate-healthcare-ireland-key-to-workforce-diversity/","editorial/supporting","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/post-sitemap.xml; lastmod 2026-08-03T19:18:48+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/corporate-healthcare/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2026-08-12T14:28:09+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/cystitis-uti-treatment/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2026-05-03T11:27:42+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/cystitis-uti-treatment/cystitis-symptoms-causes/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2024-11-30T12:59:08+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/cystitis-uti-treatment/what-is-a-bladder-infection/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2024-05-03T08:08:11+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/dermatology/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2026-05-03T11:41:14+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/diet-nutrition-dietitian-consultation-online/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2026-06-11T07:16:36+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/diverticular-disease-diet-flare/","editorial/supporting","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/post-sitemap.xml; lastmod 2026-08-03T19:18:48+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/dublinclinic/","location_service","Dublin clinic","","","Dublin clinic","services|prices|booking","","Book appointment","Call clinic","Physical clinic details|prices","Service-specific suitability","","WebPage|BreadcrumbList|AggregateRating|PostalAddress","true","self","Hybrid online and clinic services","","","","2026-08-25","Do not emulate with fake locations"
"https://www.webdoctor.ie/eczema/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2026-05-03T11:29:31+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/erectile-dysfunction-treatment/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2026-05-03T11:30:02+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/erectile-dysfunction-treatment/best-erectile-dysfunction-pills/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2024-05-03T08:10:41+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/erectile-dysfunction-treatment/ed-causes/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2024-05-03T08:10:15+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/erectile-dysfunction-treatment/ed-solutions-cures/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2024-05-03T08:10:13+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/erectile-dysfunction-treatment/effects-by-age/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2024-05-03T08:10:11+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/erectile-dysfunction-treatment/frequently-asked-questions/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2024-05-03T08:10:31+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/erectile-dysfunction-treatment/how-to-stop-erectile-dysfunction/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2024-05-03T08:11:42+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/excess-female-facial-hair-treatment/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2026-05-03T11:30:31+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/genital-herpes-treatment/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2026-05-03T11:31:01+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/genital-herpes-treatment/herpes-symptoms/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2024-05-03T08:10:59+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/genital-herpes-treatment/herpes-treatment-options/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2024-05-03T08:11:30+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/glp1-medications-ireland-guide/","editorial/supporting","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/post-sitemap.xml; lastmod 2026-08-03T19:18:48+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/hay-fever-treatment-how-and-where-you-can-get-a-prescription/","editorial/supporting","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/post-sitemap.xml; lastmod 2026-08-03T19:18:50+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/hay-fever-treatment/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2026-05-03T11:32:07+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/hay-fever-treatment/antihistamine-nasal-sprays/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2024-05-13T10:41:52+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/hay-fever-treatment/hay-fever-symptoms/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2024-05-13T10:41:23+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/health-hq/","editorial_hub","health information","","","Health HQ","category filters|articles","","Read articles","Acne treatment module","Reading times|medical brand","","","WebPage|BreadcrumbList|AggregateRating","true","self","Links to editorial and commercial modules","","","","2026-08-25","Hero acne module is not always contextually aligned"
"https://www.webdoctor.ie/health-hq/5-reasons-to-use-online-doctor/","editorial/supporting","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/post-sitemap.xml; lastmod 2026-08-03T19:18:51+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/health-hq/5-things-about-fertility/","editorial/supporting","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/post-sitemap.xml; lastmod 2026-08-03T19:18:52+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/health-hq/5-tips-to-control-asthma-in-winter/","editorial/supporting","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/post-sitemap.xml; lastmod 2026-06-04T18:13:02+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/health-hq/6-tips-to-reduce-stress/","editorial/supporting","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/post-sitemap.xml; lastmod 2026-06-04T18:13:02+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/health-hq/a-new-year-resolution-that-lasts/","editorial/supporting","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/post-sitemap.xml; lastmod 2026-08-03T19:18:51+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/health-hq/acne-what-is-it-and-how-can-we-treat-it/","editorial/supporting","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/post-sitemap.xml; lastmod 2026-08-03T19:18:50+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/health-hq/advice-on-sexual-health/","editorial/supporting","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/post-sitemap.xml; lastmod 2026-08-03T19:18:52+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/health-hq/are-you-drinking-enough-water/","editorial/supporting","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/post-sitemap.xml; lastmod 2026-08-03T19:18:52+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/health-hq/battle-with-bunions/","editorial/supporting","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/post-sitemap.xml; lastmod 2026-08-03T19:18:52+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/health-hq/benefits-of-employee-benefits/","editorial/supporting","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/post-sitemap.xml; lastmod 2026-06-04T18:21:46+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/health-hq/cancer-check/","editorial/supporting","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/post-sitemap.xml; lastmod 2026-08-03T19:18:52+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/health-hq/caring-for-mental-health-and-beating-january-blues/","editorial/supporting","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/post-sitemap.xml; lastmod 2026-08-03T19:18:51+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/health-hq/cold-sore-treatment-how-it-works/","editorial/supporting","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/post-sitemap.xml; lastmod 2026-08-03T19:18:51+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/health-hq/colds-flu-chest-infections/","editorial/supporting","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/post-sitemap.xml; lastmod 2026-06-04T18:13:02+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/health-hq/couch-to-5k/","editorial/supporting","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/post-sitemap.xml; lastmod 2026-06-04T18:13:02+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/health-hq/cuts-insect-bites/","editorial/supporting","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/post-sitemap.xml; lastmod 2026-06-04T18:13:02+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/health-hq/cystitis-kidney-infections/","supporting_article","cystitis and kidney infections","","","Cystitis and kidney infections","","","Read guidance","Treatment pathway","Editorial context","Escalation guidance","","Article|WebPage|BreadcrumbList","true","self","Treatment pathway","","","","2026-08-25","Observed cluster example"
"https://www.webdoctor.ie/health-hq/dealing-with-post-lockdown-anxiety-depression-and-agoraphobia-with-spectrum-mental-health/","editorial/supporting","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/post-sitemap.xml; lastmod 2026-08-03T19:18:51+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
