"key","url","locale","payload_sha256","reviewer_doctor_id","reviewed_at","approved_sha256","status","rule","source"
"doctor:dr-fidel-mesa-prado","https://www.myglobalhealth.online/spain/en/doctors/dr-fidel-mesa-prado","en","1d9654bdd4f9f80c980da901c70c874142aa2e5a689ccdba1f32371061a83cd4","","","","held: No current open appointment; retain routing and assignments","ledger §43.4–43.5","raw/api/doctors-dr-fidel-mesa-prado-EN.json"
"doctor:dr-javier-villarte-betancor","https://www.myglobalhealth.online/spain/en/doctors/dr-javier-villarte-betancor","en","ca988fa94d2eefa3af10244ff696539d0f66b20e498bc36d3bfee6c37f5661bd","","","","pending named clinical review","ledger §43.4–43.5","raw/api/doctors-dr-javier-villarte-betancor-EN.json"
"doctor:dr-leandro-wang","https://www.myglobalhealth.online/spain/en/doctors/dr-leandro-wang","en","765f40f49874efece766ace3f5869266f85589630ed48728326c6106c87ea088","","","","pending named clinical review","ledger §43.4–43.5","raw/api/doctors-dr-leandro-wang-EN.json"
"doctor:dr-luz-marina-zuluaga-rios","https://www.myglobalhealth.online/spain/en/doctors/dr-luz-marina-zuluaga-rios","en","94748d13d522874db7db0378fd24f61ca863cf3a664d9c29d52b9a86e15fc231","","","","held: Current exercise status discrepancy","ledger §43.4–43.5","raw/api/doctors-dr-luz-marina-zuluaga-rios-EN.json"
"doctor:dr-maria-fernanda-ocampo-mora","https://www.myglobalhealth.online/spain/en/doctors/dr-maria-fernanda-ocampo-mora","en","6a9eb375b0ce4607d31019ea209aadd519c4088e5d19a4563ae86eea23a719db","","","","pending named clinical review","ledger §43.4–43.5","raw/api/doctors-dr-maria-fernanda-ocampo-mora-EN.json"
"doctor:dr-romulo-brito","https://www.myglobalhealth.online/spain/en/doctors/dr-romulo-brito","en","44e55f1a6f60bf3f6374eba3f5f0998b40b6480d0119e80cc688b90bfd5978ad","","","","pending named clinical review","ledger §43.4–43.5","raw/api/doctors-dr-romulo-brito-EN.json"
"doctor:dr-silvina-irale","https://www.myglobalhealth.online/spain/en/doctors/dr-silvina-irale","en","bbddd919a23e5b02a2029e827225ce71478206224607e449e18827d2a973f7d9","","","","pending named clinical review","ledger §43.4–43.5","raw/api/doctors-dr-silvina-irale-EN.json"
"doctor:dr-syed-tahir","https://www.myglobalhealth.online/spain/en/doctors/dr-syed-tahir","en","77148f283fa133cf386f9e1e14f4be9eef6a494406bc765ce60b277cdb83821d","","","","pending named clinical review","ledger §43.4–43.5","raw/api/doctors-dr-syed-tahir-EN.json"
"doctor:dr-tomas-ruiz-palacios","https://www.myglobalhealth.online/spain/en/doctors/dr-tomas-ruiz-palacios","en","931141ad11dfeb50b145b5ef5ffe06294a1b13c95af56a58c329c16d8bac54c2","","","","held: Official registration not independently verified","ledger §43.4–43.5","raw/api/doctors-dr-tomas-ruiz-palacios-EN.json"
"service:caida-cabello-online","https://www.myglobalhealth.online/spain/en/services/caida-cabello-online","en","08be2fab4d3811cec3b2e32cd7927f8d50651f5145d63f3ed564fd81c02ff0be","","","","held: Assigned clinician Luz: current exercise status discrepancy; operations clarification required","ledger §43.4–43.5","raw/api/services-caida-cabello-online-EN.json"
"service:cardiologo-online","https://www.myglobalhealth.online/spain/en/services/cardiologo-online","en","349369c942734056739453994cf30c9392f925d2eac67c97d1cf8d73cd1afe16","","","","held: No current open appointment; retain routing and assignments","ledger §43.4–43.5","raw/api/services-cardiologo-online-EN.json"
"service:consulta-diagnotico-vascular","https://www.myglobalhealth.online/spain/en/services/consulta-diagnotico-vascular","en","63dcc262aae3567a53aa6b56045bac44fc3adbdd316bb2c88246109175f50d4c","","","","held: Specialist scope unresolved: CGCOM lists assigned doctor as Médico General","ledger §43.4–43.5","raw/api/services-consulta-diagnotico-vascular-EN.json"
"service:consulta-flebologia-y-linfologia","https://www.myglobalhealth.online/spain/en/services/consulta-flebologia-y-linfologia","en","f570f6779601a57416e99f9e48d5030d1178d2d695fc7decb4fbe9b25c8366a0","","","","held: Specialist scope unresolved: CGCOM lists assigned doctor as Médico General","ledger §43.4–43.5","raw/api/services-consulta-flebologia-y-linfologia-EN.json"
"service:consulta-medica-online","https://www.myglobalhealth.online/spain/en/services/consulta-medica-online","en","b4a3c006fcb8b61fd4f5cb26b67d060fac37cd3cab8a078a9d90a2fd202fc112","","","","held: Assigned clinician Luz: current exercise status discrepancy; operations clarification required","ledger §43.4–43.5","raw/api/services-consulta-medica-online-EN.json"
"service:consulta-online-medicina-estetica","https://www.myglobalhealth.online/spain/en/services/consulta-online-medicina-estetica","en","8c9ce3933d2963012e78f3316da681a3bb843a2255ed2ba4f466299d1a4b718a","","","","pending named clinical review","ledger §43.4–43.5","raw/api/services-consulta-online-medicina-estetica-EN.json"
"service:consulta-piel-online","https://www.myglobalhealth.online/spain/en/services/consulta-piel-online","en","10c7a80dcd3513532aa75b81d8057e8a1a35d26ba2e51dc0ce39a096b4386e6d","","","","held: Assigned clinician Luz: current exercise status discrepancy; operations clarification required","ledger §43.4–43.5","raw/api/services-consulta-piel-online-EN.json"
"service:consulta-salud-vascular-circulatoria","https://www.myglobalhealth.online/spain/en/services/consulta-salud-vascular-circulatoria","en","c9f8f72aeafacd0cdd01a00d75ec83257ec789286812d24876f9178151333fd2","","","","pending named clinical review","ledger §43.4–43.5","raw/api/services-consulta-salud-vascular-circulatoria-EN.json"
"service:dermatologia-especialista-online","https://www.myglobalhealth.online/spain/en/services/dermatologia-especialista-online","en","37f7b1e469f5b66d91959f3e5a2924f6a286a6820e5ce5d1c791938fabeb9f15","","","","pending named clinical review","ledger §43.4–43.5","raw/api/services-dermatologia-especialista-online-EN.json"
"service:enfermedades-cronicas-online","https://www.myglobalhealth.online/spain/en/services/enfermedades-cronicas-online","en","486a48b807fd6164f085412c3563f41a774afe577371cd38887a2d39aa992ecf","","","","held: Assigned clinician Luz: current exercise status discrepancy; operations clarification required","ledger §43.4–43.5","raw/api/services-enfermedades-cronicas-online-EN.json"
"service:pediatria-online","https://www.myglobalhealth.online/spain/en/services/pediatria-online","en","0b76c35f3f49c667ee78b688b3aab8f65c92cf7cacd07452c6f6779a6c10ce18","","","","pending named clinical review","ledger §43.4–43.5","raw/api/services-pediatria-online-EN.json"
"service:psiquiatra-online","https://www.myglobalhealth.online/spain/en/services/psiquiatra-online","en","cbc03428aaf0a738f822965ed1ac129783d1d829b5cf56e8f7228a361147a8c1","","","","pending named clinical review","ledger §43.4–43.5","raw/api/services-psiquiatra-online-EN.json"
"service:segunda-opinion-medica","https://www.myglobalhealth.online/spain/en/services/segunda-opinion-medica","en","3622213d18acebcd249c6a59838b7269b7162ff87e7d4958b5363d9c1a8a6834","","","","held: Assigned clinician Luz: current exercise status discrepancy; operations clarification required","ledger §43.4–43.5","raw/api/services-segunda-opinion-medica-EN.json"
"doctor:dr-alfredo-del-valle","https://www.myglobalhealth.online/spain/es/doctors/dr-alfredo-del-valle","es","0d121748b2bc575a0aeae0cc192c1aa1cd2faf6866165ce3b762187fac07d136","","","","pending named clinical review","ledger §43.4–43.5","raw/api/doctors-dr-alfredo-del-valle-ES.json"
"doctor:dr-eduardo-olivas","https://www.myglobalhealth.online/spain/es/doctors/dr-eduardo-olivas","es","fb551b997359a703904ba6ec8e6107d5f96dc6d2bbeee32876b0eec995bac1e5","","","","pending named clinical review","ledger §43.4–43.5","raw/api/doctors-dr-eduardo-olivas-ES.json"
"doctor:dr-eszter-szilagyi","https://www.myglobalhealth.online/spain/es/doctors/dr-eszter-szilagyi","es","2082c6122331e735b90e6a7af3fed802426c3c07e2a6e280a25202781d4bc931","","","","pending named clinical review","ledger §43.4–43.5","raw/api/doctors-dr-eszter-szilagyi-ES.json"
"doctor:dr-fabiana-cornejo","https://www.myglobalhealth.online/spain/es/doctors/dr-fabiana-cornejo","es","8562939a59d444a42a86335100d93f902697bebe3404115a880db6bb2d33874e","","","","pending named clinical review","ledger §43.4–43.5","raw/api/doctors-dr-fabiana-cornejo-ES.json"
"doctor:dr-fidel-mesa-prado","https://www.myglobalhealth.online/spain/es/doctors/dr-fidel-mesa-prado","es","88e4986ad53662b7723aac9bdb51efa47e4bc92edd5da11c071b44b4acd8bf66","","","","held: No current open appointment; retain routing and assignments","ledger §43.4–43.5","raw/api/doctors-dr-fidel-mesa-prado-ES.json"
"doctor:dr-javier-villarte-betancor","https://www.myglobalhealth.online/spain/es/doctors/dr-javier-villarte-betancor","es","161c56a16f942e92e4be82a5834dc4f01f1d18bdaa3c92cd672ff99662733323","","","","pending named clinical review","ledger §43.4–43.5","raw/api/doctors-dr-javier-villarte-betancor-ES.json"
"doctor:dr-leandro-wang","https://www.myglobalhealth.online/spain/es/doctors/dr-leandro-wang","es","787606ef6e2a40a45e8bd37276419f3acbe80b4b6cd4f7bcef76fb833de61421","","","","pending named clinical review","ledger §43.4–43.5","raw/api/doctors-dr-leandro-wang-ES.json"
"doctor:dr-luz-marina-zuluaga-rios","https://www.myglobalhealth.online/spain/es/doctors/dr-luz-marina-zuluaga-rios","es","9e45808522b2a97d8e7d00bc45f18e9a78f6ce80e8fe72e4312e2150df0c423b","","","","held: Current exercise status discrepancy","ledger §43.4–43.5","raw/api/doctors-dr-luz-marina-zuluaga-rios-ES.json"
"doctor:dr-maria-fernanda-ocampo-mora","https://www.myglobalhealth.online/spain/es/doctors/dr-maria-fernanda-ocampo-mora","es","f029a4dc0929cf3ecf1f1e270af800b5e53379e73594b2bf5eef81e18c74c065","","","","pending named clinical review","ledger §43.4–43.5","raw/api/doctors-dr-maria-fernanda-ocampo-mora-ES.json"
"doctor:dr-romulo-brito","https://www.myglobalhealth.online/spain/es/doctors/dr-romulo-brito","es","82c70f2e26715b423179ec23f02fbf5202670e5b7c837e4d9fff1bbb4d10c8e9","","","","pending named clinical review","ledger §43.4–43.5","raw/api/doctors-dr-romulo-brito-ES.json"
"doctor:dr-silvina-irale","https://www.myglobalhealth.online/spain/es/doctors/dr-silvina-irale","es","c73955d4c36f25e27681859ee99c7ed41eeca37ec1ee29c4c49a041623b1c9bb","","","","pending named clinical review","ledger §43.4–43.5","raw/api/doctors-dr-silvina-irale-ES.json"
"doctor:dr-syed-tahir","https://www.myglobalhealth.online/spain/es/doctors/dr-syed-tahir","es","2d8d57ff0def16a6821bc2a3d9ab00026bee86a682f23fddd59e299311b2d2ad","","","","pending named clinical review","ledger §43.4–43.5","raw/api/doctors-dr-syed-tahir-ES.json"
"doctor:dr-tomas-ruiz-palacios","https://www.myglobalhealth.online/spain/es/doctors/dr-tomas-ruiz-palacios","es","fbf2c4e722a8c8f2cf87f94c663a6167a497facca2ed465695543295999e43d6","","","","held: Official registration not independently verified","ledger §43.4–43.5","raw/api/doctors-dr-tomas-ruiz-palacios-ES.json"
"service:cardiologo-online","https://www.myglobalhealth.online/spain/es/services/cardiologo-online","es","d4ae30b5250224a999e2a5a56ad87932c9532a20a961d13f41de193124d3c761","","","","held: No current open appointment; retain routing and assignments","ledger §43.4–43.5","raw/api/services-cardiologo-online-ES.json"
"service:consulta-diagnotico-vascular","https://www.myglobalhealth.online/spain/es/services/consulta-diagnotico-vascular","es","2cc49a1c081b444901a0f3a1d10565ee411e0d7065094345398b305fcbc6162a","","","","held: Specialist scope unresolved: CGCOM lists assigned doctor as Médico General","ledger §43.4–43.5","raw/api/services-consulta-diagnotico-vascular-ES.json"
"service:consulta-flebologia-y-linfologia","https://www.myglobalhealth.online/spain/es/services/consulta-flebologia-y-linfologia","es","4d50e83e117308b94c282009c410671ebe671f7b8aacde0a5b0358c7af43bd7a","","","","held: Specialist scope unresolved: CGCOM lists assigned doctor as Médico General","ledger §43.4–43.5","raw/api/services-consulta-flebologia-y-linfologia-ES.json"
"service:consulta-medica-online","https://www.myglobalhealth.online/spain/es/services/consulta-medica-online","es","e2169b01f522f3d711a72558e28d51aa759ea96b4956ead2bad82c9a8f682060","","","","held: Assigned clinician Luz: current exercise status discrepancy; operations clarification required","ledger §43.4–43.5","raw/api/services-consulta-medica-online-ES.json"
"service:consulta-online-medicina-estetica","https://www.myglobalhealth.online/spain/es/services/consulta-online-medicina-estetica","es","b37eb3edc0f3ccb68f05eaa11d9bee78fbd5fb19b16ff65ad48c78580ccc5407","","","","pending named clinical review","ledger §43.4–43.5","raw/api/services-consulta-online-medicina-estetica-ES.json"
"service:consulta-piel-online","https://www.myglobalhealth.online/spain/es/services/consulta-piel-online","es","fa981d4939e7ab5069a359f8ea8f5a435013145ba88eea39eaafd41e0a3ea481","","","","held: Assigned clinician Luz: current exercise status discrepancy; operations clarification required","ledger §43.4–43.5","raw/api/services-consulta-piel-online-ES.json"
"service:consulta-salud-vascular-circulatoria","https://www.myglobalhealth.online/spain/es/services/consulta-salud-vascular-circulatoria","es","65d4d93705ebe3233d6a9bc3556d85d09248e52205a4e53d8d1cc7e89412a623","","","","pending named clinical review","ledger §43.4–43.5","raw/api/services-consulta-salud-vascular-circulatoria-ES.json"
"service:dermatologia-especialista-online","https://www.myglobalhealth.online/spain/es/services/dermatologia-especialista-online","es","f11b54a6cbfe6c222f5286d4447f341a58dace6b41825bd0a20dfc581b1c9386","","","","pending named clinical review","ledger §43.4–43.5","raw/api/services-dermatologia-especialista-online-ES.json"
