route_pattern,file,is_route_handler,dynamic_segments,has_generateStaticParams,dynamic_export,rendering,page_type,data_sources
/[country]/[lang]/book-a-test/[testSlug],frontend/app/[country]/[lang]/book-a-test/[testSlug]/page.tsx,no,[country]|[lang]|[testSlug],no,,dynamic_params,booking,lib/content/asset-media-url|lib/content/country-features|lib/content/get-country-tests|lib/content/get-page-content|lib/content/get-public-countries|lib/seo/page-seo|lib/seo/structured-data
/[country]/[lang]/book-a-test,frontend/app/[country]/[lang]/book-a-test/page.tsx,no,[country]|[lang],yes,,static_params,booking,lib/content/asset-media-url|lib/content/country-features|lib/content/get-country-tests|lib/content/get-page-content|lib/content/get-public-countries|lib/seo/page-seo|lib/seo/structured-data
/[country]/[lang]/careers/[slug],frontend/app/[country]/[lang]/careers/[slug]/page.tsx,no,[country]|[lang]|[slug],no,,dynamic_params,careers,lib/content/get-public-countries|lib/content/get-public-jobs|lib/content/get-public-page|lib/content/sanitize-page-body|lib/seo/page-seo|lib/seo/site-url|lib/seo/structured-data
/[country]/[lang]/careers,frontend/app/[country]/[lang]/careers/page.tsx,no,[country]|[lang],no,,dynamic_params,careers,lib/content/country-about|lib/content/country-contact|lib/content/czechia-static-page-seo|lib/content/get-public-countries|lib/content/get-public-jobs|lib/content/get-public-page|lib/seo/hreflang|lib/seo/page-seo|lib/seo/structured-data
/[country]/[lang]/cart,frontend/app/[country]/[lang]/cart/page.tsx,no,[country]|[lang],no,,dynamic_params,checkout,lib/content/get-public-page|lib/seo/hreflang|lib/seo/page-seo
/[country]/[lang]/checkout/cancelled,frontend/app/[country]/[lang]/checkout/cancelled/page.tsx,no,[country]|[lang],no,force-dynamic,dynamic,checkout,lib/content/get-public-page|lib/seo/hreflang|lib/seo/page-seo
/[country]/[lang]/checkout,frontend/app/[country]/[lang]/checkout/page.tsx,no,[country]|[lang],no,,dynamic_params,checkout,lib/content/get-public-page|lib/seo/hreflang|lib/seo/page-seo
/[country]/[lang]/checkout/success,frontend/app/[country]/[lang]/checkout/success/page.tsx,no,[country]|[lang],no,force-dynamic,dynamic,checkout,lib/api/cart-server|lib/content/get-public-page|lib/seo/hreflang|lib/seo/page-seo
/[country]/[lang]/consult/[serviceSlug],frontend/app/[country]/[lang]/consult/[serviceSlug]/page.tsx,no,[country]|[lang]|[serviceSlug],no,,dynamic_params,consult,
/[country]/[lang]/contact,frontend/app/[country]/[lang]/contact/page.tsx,no,[country]|[lang],no,,dynamic_params,contact,lib/content/country-contact|lib/content/czechia-static-page-seo|lib/content/get-public-page|lib/content/ireland-static-page-seo|lib/seo/hreflang|lib/seo/page-seo|lib/seo/structured-data
/[country]/[lang]/doctors/[doctorSlug],frontend/app/[country]/[lang]/doctors/[doctorSlug]/page.tsx,no,[country]|[lang]|[doctorSlug],no,,dynamic_params,doctor,lib/content/doctor-profile-page|lib/content/get-public-page
/[country]/[lang]/doctors,frontend/app/[country]/[lang]/doctors/page.tsx,no,[country]|[lang],yes,,static_params,doctors_index,lib/api/consultation-count|lib/content/country-doctors-copy|lib/content/doctor-directory|lib/content/get-country-collections|lib/content/get-country-trust|lib/content/get-page-content|lib/content/get-public-countries|lib/seo/hreflang|lib/seo/page-seo|lib/seo/structured-data
/[country]/[lang]/dr-renato,frontend/app/[country]/[lang]/dr-renato/page.tsx,no,[country]|[lang],yes,,static_params,doctor,lib/api/site-content-api|lib/content/bookability-presentation|lib/content/get-country-collections|lib/seo/page-seo
/[country]/[lang]/faq,frontend/app/[country]/[lang]/faq/page.tsx,no,[country]|[lang],no,,dynamic_params,faq,lib/content/country-about|lib/content/country-faq|lib/content/czechia-static-page-seo|lib/content/get-public-countries|lib/content/get-public-page|lib/content/portugal-static-page-seo|lib/seo/hreflang|lib/seo/page-seo|lib/seo/structured-data
/[country]/[lang]/general-consultation,frontend/app/[country]/[lang]/general-consultation/page.tsx,no,[country]|[lang],yes,,static_params,consult,lib/api/consultation-count|lib/content/asset-media-url|lib/content/bookability-presentation|lib/content/country-features|lib/content/country-gp-copy|lib/content/get-country-collections|lib/content/get-page-content|lib/content/get-public-countries|lib/content/service-doctor-selection|lib/seo/hreflang|lib/seo/page-seo|lib/seo/structured-data
/[country]/[lang]/health/[slug],frontend/app/[country]/[lang]/health/[slug]/page.tsx,no,[country]|[lang]|[slug],no,,dynamic_params,health_legacy,lib/content/bookability-presentation|lib/content/get-country-collections|lib/content/get-country-trust|lib/content/get-public-page|lib/content/scope-blog-html|lib/seo/health-service-canonical|lib/seo/hreflang|lib/seo/landing-locale-eligibility|lib/seo/page-seo|lib/seo/site-url|lib/seo/structured-data
/[country]/[lang]/legal/[type],frontend/app/[country]/[lang]/legal/[type]/page.tsx,no,[country]|[lang]|[type],no,,dynamic_params,legal,lib/content/czechia-static-page-seo|lib/content/get-country-legal|lib/content/get-public-page|lib/content/sanitize-page-body|lib/seo/hreflang|lib/seo/page-seo|lib/seo/structured-data
/[country]/[lang]/legal,frontend/app/[country]/[lang]/legal/page.tsx,no,[country]|[lang],no,,dynamic_params,legal,lib/content/czechia-static-page-seo|lib/content/get-country-legal|lib/content/get-public-page|lib/seo/hreflang|lib/seo/page-seo|lib/seo/structured-data
/[country]/[lang]/legal/subscription-terms,frontend/app/[country]/[lang]/legal/subscription-terms/page.tsx,no,[country]|[lang],no,,dynamic_params,legal,lib/content/get-public-page|lib/seo/hreflang|lib/seo/page-seo
/[country]/[lang],frontend/app/[country]/[lang]/page.tsx,no,[country]|[lang],yes,,static_params,market_home,lib/content/bookability-presentation|lib/content/country-features|lib/content/country-home-copy|lib/content/get-country-collections|lib/content/get-country-trust|lib/content/get-gp-availability|lib/content/get-page-content|lib/content/get-public-countries|lib/content/get-public-doctors|lib/content/languages|lib/content/trace-public-read|lib/seo/hreflang|lib/seo/page-seo|lib/seo/site-url|lib/seo/structured-data
/[country]/[lang]/prescriptions,frontend/app/[country]/[lang]/prescriptions/page.tsx,no,[country]|[lang],yes,,static_params,static_other,lib/content/country-features|lib/content/get-country-collections|lib/content/get-page-content|lib/content/get-public-countries|lib/seo/hreflang|lib/seo/page-seo|lib/seo/structured-data
/[country]/[lang]/press/[slug],frontend/app/[country]/[lang]/press/[slug]/page.tsx,no,[country]|[lang]|[slug],no,,dynamic_params,press,lib/content/country-contact|lib/content/get-public-countries|lib/content/get-public-page|lib/content/press-releases|lib/seo/hreflang|lib/seo/page-seo|lib/seo/structured-data
/[country]/[lang]/press,frontend/app/[country]/[lang]/press/page.tsx,no,[country]|[lang],no,,dynamic_params,press,lib/content/country-about|lib/content/country-contact|lib/content/czechia-static-page-seo|lib/content/get-public-countries|lib/content/get-public-page|lib/content/press-releases|lib/seo/hreflang|lib/seo/page-seo|lib/seo/structured-data
/[country]/[lang]/pricing,frontend/app/[country]/[lang]/pricing/page.tsx,no,[country]|[lang],yes,,static_params,pricing,lib/content/country-features|lib/content/czechia-static-page-seo|lib/content/get-country-plans|lib/content/get-public-countries|lib/content/get-public-page|lib/content/ireland-static-page-seo|lib/content/portugal-static-page-seo|lib/seo/hreflang|lib/seo/page-seo|lib/seo/structured-data
/[country]/[lang]/services/[serviceSlug],frontend/app/[country]/[lang]/services/[serviceSlug]/page.tsx,no,[country]|[lang]|[serviceSlug],no,,dynamic_params,service,lib/api/site-content-api|lib/content/asset-media-url|lib/content/bookability-presentation|lib/content/get-country-collections|lib/content/get-country-legal|lib/content/get-country-trust|lib/content/get-public-blog|lib/content/get-public-page|lib/content/insurance-seo-line|lib/content/publication-validation|lib/content/scope-blog-html|lib/content/service-doctor-selection|lib/seo/health-service-canonical|lib/seo/hreflang|lib/seo/page-seo|lib/seo/structured-data|lib/tools/market-copy|lib/tools/markets|lib/tools/registry|lib/tools/service-suggestions
/[country]/[lang]/specialist-consultation,frontend/app/[country]/[lang]/specialist-consultation/page.tsx,no,[country]|[lang],yes,,static_params,consult,lib/api/consultation-count|lib/content/bookability-presentation|lib/content/country-features|lib/content/get-country-collections|lib/content/get-country-legal|lib/content/get-page-content|lib/content/get-public-countries|lib/content/service-hub-content|lib/content/specialist-doctor-selection|lib/seo/consultation-hub-visible-content|lib/seo/hreflang|lib/seo/page-seo|lib/seo/structured-data
/[country]/[lang]/tests/[testSlug],frontend/app/[country]/[lang]/tests/[testSlug]/page.tsx,no,[country]|[lang]|[testSlug],no,,dynamic_params,test,lib/content/asset-media-url|lib/content/country-features|lib/content/get-country-collections|lib/content/get-public-countries|lib/content/get-public-page|lib/seo/hreflang|lib/seo/page-seo|lib/seo/structured-data
/[country]/[lang]/tests,frontend/app/[country]/[lang]/tests/page.tsx,no,[country]|[lang],yes,,static_params,tests_index,lib/api/consultation-count|lib/content/country-features|lib/content/get-country-collections|lib/content/get-page-content|lib/content/get-public-blog|lib/content/get-public-countries|lib/content/service-hub-content|lib/seo/hreflang|lib/seo/page-seo|lib/seo/structured-data
/[country]/[lang]/tools/[slug],frontend/app/[country]/[lang]/tools/[slug]/page.tsx,no,[country]|[lang]|[slug],yes,,static_params,tool,lib/content/get-public-page|lib/content/tool-page|lib/seo/hreflang|lib/seo/page-seo|lib/tools/market-copy|lib/tools/markets|lib/tools/registry|lib/tools/service-suggestions
/llms.txt,frontend/app/llms.txt/route.ts,yes,,no,force-dynamic,dynamic,unknown,lib/content/country-features|lib/content/get-public-blog|lib/content/get-public-countries|lib/seo/site-url
